time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count
0,-0.7244,0.4432,0.0113,0.0033,-0.0021,0.0039,-0.84,0.78,-16.98,0,3.853,-0.263,0.040,-0.140,0.014,-0.015,1.003,0.000,0.000,0.000,0.0090,3,6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0920,0.1360,1.3280,1.0650,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
100,-0.7248,0.4434,0.0109,0.0010,-0.0009,0.0015,-0.85,0.83,-16.89,0,3.859,-0.290,0.128,0.084,0.013,-0.016,1.001,0.000,0.000,0.000,0.0130,2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0920,0.1360,1.3290,1.0670,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
201,-0.7255,0.4434,0.0100,-0.0030,-0.0015,-0.0021,-0.86,0.81,-16.81,0,3.853,0.146,-0.042,0.136,0.013,-0.017,1.002,0.000,0.000,0.000,0.0110,1,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0950,0.1320,1.3290,1.0670,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
302,-0.7254,0.4431,0.0115,-0.0016,-0.0028,0.0050,-0.85,0.74,-16.73,0,3.853,-0.207,-0.191,0.075,0.015,-0.013,1.002,0.000,0.000,0.000,0.0110,6,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0950,0.1320,1.3350,1.0670,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
403,-0.7242,0.4442,0.0115,0.0059,0.0036,0.0043,-0.86,0.79,-16.65,0,3.853,0.447,-0.250,-0.067,0.015,-0.016,0.999,0.000,0.000,0.000,0.0130,-8,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0890,0.1360,1.3350,1.0670,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
504,-0.7256,0.4432,0.0115,-0.0015,-0.0017,0.0037,-0.94,0.79,-16.57,0,3.853,-0.144,-0.185,-0.118,0.014,-0.016,0.999,0.000,0.000,0.000,0.0120,3,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0890,0.1360,1.3290,1.0650,2.7110,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
606,-0.7253,0.4426,0.0125,0.0002,-0.0049,0.0068,-0.81,0.82,-16.48,0,3.848,0.133,-0.033,-0.257,0.013,-0.016,0.999,0.000,0.000,0.000,0.0110,5,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0950,0.1350,1.3290,1.0650,2.7110,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
708,-0.7252,0.4440,0.0126,0.0015,0.0028,0.0059,-0.84,0.77,-16.40,0,3.859,-0.141,0.113,0.001,0.013,-0.018,0.999,0.000,0.000,0.000,0.0090,7,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0950,0.1350,1.3320,1.0700,2.7070,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
808,-0.7256,0.4451,0.0121,-0.0008,0.0083,0.0026,-0.86,0.78,-16.32,0,3.853,-0.034,-0.219,0.172,0.016,-0.018,1.002,0.000,0.000,0.000,0.0110,-9,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0920,0.1380,1.3320,1.0700,2.7070,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
909,-0.7260,0.4430,0.0107,-0.0025,-0.0037,-0.0032,-0.92,0.80,-16.24,0,3.853,0.162,-0.208,-0.112,0.014,-0.015,1.001,0.000,0.000,0.000,0.0120,3,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0920,0.1380,1.3320,1.0660,2.6980,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
