time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count
0,3.7861,-2.2042,0.0127,0.0002,-0.0218,0.0033,-0.90,-0.09,-0.62,0,4.086,0.204,-0.081,-0.121,-0.002,-0.018,0.998,0.000,0.000,0.000,0.0120,2,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8690,0.2500,0.7940,1.4660,2.7010,223,0.0000,0.0000,0.0000,0.0000,0.0000,0
100,3.7867,-2.2058,0.0125,0.0025,-0.0276,0.0016,-0.76,-0.08,-0.62,0,4.080,0.074,0.071,-0.229,-0.002,-0.017,1.001,0.000,0.000,0.000,0.0110,-31,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8690,0.2500,0.7910,1.4620,2.7010,223,0.0000,0.0000,0.0000,0.0000,0.0000,0
202,3.7870,-2.2000,0.0121,0.0032,0.0114,-0.0012,-1.37,-0.15,-0.61,0,4.086,-0.139,0.104,0.085,-0.003,-0.018,0.998,0.000,0.000,0.000,0.0120,1,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8670,0.0000,0.7910,1.4620,2.7040,223,0.0000,0.0000,0.0000,0.0000,0.0000,0
303,3.7869,-2.1929,0.0119,0.0015,0.0435,-0.0025,-1.31,-0.10,-0.61,0,4.080,-0.176,-0.120,-0.163,-0.001,-0.019,1.000,0.000,0.000,0.000,0.0140,18,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8670,0.0000,0.7920,1.4590,2.7040,223,0.0000,0.0000,0.0000,0.0000,0.0000,0
404,3.7866,-2.1957,0.0130,-0.0013,0.0194,0.0037,-0.94,-0.05,-0.62,0,4.086,-0.016,0.138,0.357,-0.003,-0.019,0.998,0.000,0.000,0.000,0.0100,2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8670,0.0000,0.7920,1.4590,2.7040,223,0.0000,0.0000,0.0000,0.0000,0.0000,0
505,3.7862,-2.1966,0.0119,-0.0032,0.0134,-0.0032,-1.05,-0.05,-0.61,0,4.075,0.039,-0.136,0.020,-0.000,-0.020,1.001,0.000,0.000,0.000,0.0130,9,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8670,0.0000,0.7930,1.4550,2.7040,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
606,3.7868,-2.1975,0.0123,0.0012,0.0044,-0.0007,-0.91,-0.10,-0.61,0,4.091,0.021,-0.053,-0.019,-0.002,-0.019,1.000,0.000,0.000,0.000,0.0110,3,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8590,0.0000,0.7930,1.4550,2.7020,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
708,3.7873,-2.1986,0.0117,0.0040,-0.0013,-0.0034,-0.92,-0.08,-0.60,0,4.075,-0.100,0.169,0.383,-0.001,-0.018,1.001,0.000,0.000,0.000,0.0140,-5,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8590,0.0000,0.7930,1.4620,2.7020,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
809,3.7862,-2.2044,0.0126,-0.0019,-0.0335,0.0011,-0.76,-0.04,-0.60,0,4.086,0.057,0.168,-0.065,-0.001,-0.018,0.999,0.000,0.000,0.000,0.0120,6,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8680,0.0000,0.7930,1.4620,2.7010,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
910,3.7852,-2.2048,0.0124,-0.0061,-0.0301,-0.0004,-0.70,-0.05,-0.60,0,4.080,0.021,-0.058,-0.094,-0.001,-0.016,0.998,0.000,0.000,0.000,0.0100,-26,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8680,0.0000,0.7900,1.4650,2.7010,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
1011,3.7852,-2.2054,0.0115,-0.0055,-0.0271,-0.0059,-1.00,-0.04,-0.58,0,4.091,-0.088,-0.079,0.156,-0.003,-0.018,0.999,0.000,0.000,0.000,0.0090,-15,8,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8650,0.2470,0.7900,1.4650,2.6990,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
1113,3.7856,-2.1986,0.0103,-0.0032,0.0116,-0.0108,-1.20,0.00,-0.56,0,4.075,-0.013,0.128,0.405,-0.003,-0.019,0.999,0.000,0.000,0.000,0.0120,18,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8650,0.2470,0.7950,1.4540,2.6990,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
1213,3.7858,-2.1908,0.0105,-0.0021,0.0487,-0.0075,-1.17,-0.06,-0.56,0,4.091,0.138,-0.265,-0.225,-0.000,-0.017,0.999,0.000,0.000,0.000,0.0120,-3,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8740,0.2550,0.7950,1.4540,2.7080,179,0.0000,0.0000,0.0000,0.0000,0.0000,0
1315,3.7823,-2.1940,0.0113,-0.0194,0.0237,-0.0021,-1.15,0.09,-0.56,0,4.080,-0.270,-0.251,-0.053,-0.001,-0.019,1.000,0.000,0.000,0.000,0.0130,-16,7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8740,0.2550,0.7910,1.4560,2.7080,113,0.0000,0.0000,0.0000,0.0000,0.0000,0
1416,3.7789,-2.1972,0.0120,-0.0320,0.0021,0.0021,-1.09,0.19,-0.56,0,4.086,0.067,0.297,-0.312,-0.001,-0.020,0.999,0.000,0.000,0.000,0.0090,-2,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8630,0.2460,0.7910,1.4560,2.7130,113,0.0000,0.0000,0.0000,0.0000,0.0000,0
1517,3.7786,-2.1921,0.0108,-0.0275,0.0242,-0.0043,-1.12,0.10,-0.55,0,4.086,-0.079,-0.069,-0.009,-0.000,-0.016,0.997,0.000,0.000,0.000,0.0110,-16,-7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8630,0.2460,0.7940,1.4600,2.7130,113,0.0000,0.0000,0.0000,0.0000,0.0000,0
1569,3.7770,-2.1955,0.0109,-0.0283,0.0014,-0.0033,-1.07,0.00,-0.56,0,4.086,0.063,0.130,0.197,-0.001,-0.016,1.000,0.000,0.000,0.000,0.0110,4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8730,0.0000,0.7940,1.4600,2.7030,113,0.0000,0.0000,0.0000,0.0000,0.0000,0
1621,3.7794,-2.1976,0.0110,-0.0101,-0.0138,-0.0023,-0.76,-0.07,-0.58,0,4.080,0.075,-0.032,-0.186,-0.004,-0.019,1.002,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8730,0.0000,0.7950,1.4620,2.7030,113,0.0000,0.0000,0.0000,0.0000,0.0000,0
1671,3.7806,-2.1981,0.0105,-0.0015,-0.0152,-0.0041,-0.80,-0.14,-0.58,0,4.086,0.124,-0.092,0.135,-0.002,-0.017,0.998,0.000,0.000,0.000,0.0130,-4,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.8660,0.2420,0.7950,1.4620,2.7050,113,0.0000,0.0000,0.0000,0.0000,0.0000,0
