time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,0.1699,-0.5781,0.0092,0.0056,-0.0039,0.0098,-1.31,0.90,-0.74,0,3.948,-0.407,0.055,0.306,0.017,-0.027,0.000,0.000,0.000,0.000
50,0.1699,-0.5787,0.0095,0.0058,-0.0066,0.0098,-1.35,0.84,-0.74,0,3.948,-0.054,-0.041,-0.274,0.016,-0.026,0.000,0.000,0.000,0.000
102,0.1683,-0.5773,0.0088,-0.0038,0.0008,0.0055,-1.34,0.90,-0.73,0,3.948,-0.178,0.414,0.029,0.016,-0.025,0.000,0.000,0.000,0.000
153,0.1681,-0.5783,0.0087,-0.0044,-0.0049,0.0046,-1.33,0.91,-0.73,0,3.948,0.029,0.201,-0.075,0.014,-0.025,0.000,0.000,0.000,0.000
203,0.1680,-0.5782,0.0081,-0.0046,-0.0038,0.0016,-1.34,0.83,-0.73,0,3.948,0.019,0.105,0.020,0.017,-0.025,0.000,0.000,0.000,0.000
255,0.1700,-0.5778,0.0077,0.0061,-0.0018,-0.0004,-1.34,0.83,-0.73,0,3.954,0.065,-0.131,-0.021,0.017,-0.026,0.000,0.000,0.000,0.000
305,0.1689,-0.5780,0.0083,0.0004,-0.0025,0.0042,-1.34,0.85,-0.72,0,3.948,0.064,0.036,-0.033,0.017,-0.025,0.000,0.000,0.000,0.000
357,0.1691,-0.5779,0.0084,0.0016,-0.0027,0.0040,-1.35,0.88,-0.72,0,3.948,0.241,0.322,-0.015,0.016,-0.023,0.000,0.000,0.000,0.000
407,0.1700,-0.5771,0.0071,0.0069,0.0013,-0.0022,-1.35,0.89,-0.71,0,3.954,0.124,-0.106,-0.241,0.017,-0.023,0.000,0.000,0.000,0.000
459,0.1700,-0.5774,0.0061,0.0066,-0.0001,-0.0057,-1.38,0.89,-0.71,0,3.948,-0.126,-0.190,0.018,0.016,-0.024,0.000,0.000,0.000,0.000
510,0.1689,-0.5776,0.0055,0.0005,-0.0009,-0.0065,-1.34,0.92,-0.70,0,3.948,-0.202,-0.207,-0.036,0.016,-0.027,0.000,0.000,0.000,0.000
561,0.1692,-0.5776,0.0055,0.0018,-0.0015,-0.0036,-1.34,0.92,-0.70,0,3.948,0.240,-0.206,-0.097,0.017,-0.026,0.000,0.000,0.000,0.000
611,0.1680,-0.5790,0.0070,-0.0048,-0.0097,0.0054,-1.38,0.85,-0.70,0,3.954,-0.146,0.070,-0.060,0.014,-0.026,0.000,0.000,0.000,0.000
663,0.1691,-0.5785,0.0077,0.0009,-0.0072,0.0083,-1.38,0.89,-0.69,0,3.943,-0.275,0.198,-0.089,0.014,-0.027,0.000,0.000,0.000,0.000
714,0.1693,-0.5783,0.0077,0.0021,-0.0057,0.0075,-1.39,0.85,-0.69,0,3.954,0.137,-0.113,0.036,0.017,-0.026,0.000,0.000,0.000,0.000
765,0.1689,-0.5781,0.0090,-0.0001,-0.0039,0.0133,-1.36,0.88,-0.68,0,3.948,0.087,0.063,0.008,0.016,-0.023,0.000,0.000,0.000,0.000
815,0.1698,-0.5777,0.0081,0.0052,-0.0019,0.0065,-1.37,0.84,-0.68,0,3.948,-0.304,0.217,0.018,0.019,-0.025,0.000,0.000,0.000,0.000
866,0.1700,-0.5783,0.0079,0.0063,-0.0050,0.0045,-1.38,0.88,-0.67,0,3.948,-0.164,-0.522,-0.039,0.017,-0.024,0.000,0.000,0.000,0.000
917,0.1697,-0.5775,0.0081,0.0053,-0.0001,0.0056,-1.37,0.91,-0.66,0,3.954,0.002,-0.008,0.152,0.016,-0.025,0.000,0.000,0.000,0.000
969,0.1699,-0.5789,0.0079,0.0063,-0.0079,0.0045,-1.37,0.88,-0.66,0,3.948,-0.056,0.164,-0.044,0.015,-0.025,0.000,0.000,0.000,0.000
1020,0.1700,-0.5771,0.0064,0.0062,0.0023,-0.0029,-1.38,0.89,-0.66,0,3.954,-0.149,-0.066,-0.061,0.014,-0.024,0.000,0.000,0.000,0.000
1071,0.1699,-0.5775,0.0070,0.0057,0.0003,0.0023,-1.36,0.89,-0.65,0,3.948,-0.021,-0.045,-0.009,0.015,-0.027,0.000,0.000,0.000,0.000
1121,0.1701,-0.5773,0.0080,0.0060,0.0012,0.0081,-1.39,0.87,-0.65,0,3.948,-0.070,-0.146,-0.078,0.016,-0.026,0.000,0.000,0.000,0.000
1173,0.1700,-0.5791,0.0079,0.0051,-0.0095,0.0067,-1.38,0.88,-0.65,0,3.948,0.208,-0.125,-0.305,0.017,-0.024,0.000,0.000,0.000,0.000
1224,0.1689,-0.5783,0.0082,-0.0010,-0.0055,0.0080,-1.34,0.88,-0.64,0,3.954,0.285,-0.031,-0.354,0.016,-0.025,0.000,0.000,0.000,0.000
1274,0.1693,-0.5774,0.0093,0.0011,0.0003,0.0125,-1.36,0.89,-0.64,0,3.948,0.138,-0.313,0.043,0.016,-0.023,0.000,0.000,0.000,0.000
1325,0.1689,-0.5781,0.0092,-0.0009,-0.0036,0.0102,-1.34,0.86,-0.63,0,3.954,0.233,-0.054,-0.365,0.018,-0.024,0.000,0.000,0.000,0.000
1377,0.1682,-0.5777,0.0090,-0.0040,-0.0015,0.0082,-1.33,0.85,-0.63,0,3.948,-0.058,0.060,-0.043,0.015,-0.025,0.000,0.000,0.000,0.000
1428,0.1700,-0.5781,0.0085,0.0056,-0.0037,0.0042,-1.34,0.84,-0.62,0,3.954,0.234,-0.139,0.145,0.017,-0.025,0.000,0.000,0.000,0.000
1479,0.1700,-0.5804,0.0080,0.0055,-0.0161,0.0019,-1.37,0.87,-0.62,0,3.948,0.137,-0.090,-0.196,0.017,-0.027,0.000,0.000,0.000,0.000
1529,0.1680,-0.5770,0.0082,-0.0056,0.0027,0.0036,-1.30,0.88,-0.61,0,3.954,-0.157,0.109,0.162,0.017,-0.025,0.000,0.000,0.000,0.000
1581,0.1689,-0.5786,0.0078,-0.0004,-0.0058,0.0018,-1.31,0.86,-0.61,0,3.943,0.001,-0.043,-0.018,0.019,-0.027,0.000,0.000,0.000,0.000
1631,0.1698,-0.5784,0.0080,0.0047,-0.0048,0.0031,-1.32,0.88,-0.61,0,3.954,0.038,0.361,0.017,0.017,-0.026,0.000,0.000,0.000,0.000
1682,0.1694,-0.5779,0.0072,0.0030,-0.0025,-0.0009,-1.37,0.87,-0.61,0,3.948,-0.185,0.101,-0.027,0.015,-0.023,0.000,0.000,0.000,0.000
1733,0.1701,-0.5780,0.0058,0.0061,-0.0029,-0.0072,-1.35,0.87,-0.61,0,3.954,-0.216,0.129,-0.074,0.016,-0.025,0.000,0.000,0.000,0.000
1785,0.1701,-0.5771,0.0066,0.0059,0.0017,-0.0005,-1.34,0.88,-0.60,0,3.948,0.300,-0.037,-0.177,0.017,-0.025,0.000,0.000,0.000,0.000
1836,0.1701,-0.5782,0.0059,0.0056,-0.0036,-0.0024,-1.33,0.90,-0.60,0,3.948,-0.242,0.008,0.102,0.015,-0.027,0.000,0.000,0.000,0.000
1886,0.1701,-0.5791,0.0059,0.0047,-0.0082,-0.0006,-1.40,0.89,-0.59,0,3.948,-0.052,-0.003,-0.182,0.016,-0.024,0.000,0.000,0.000,0.000
1938,0.1701,-0.5787,0.0064,0.0048,-0.0059,0.0030,-1.36,0.85,-0.60,0,3.954,-0.033,-0.087,-0.196,0.016,-0.022,0.000,0.000,0.000,0.000
1988,0.1692,-0.5780,0.0059,0.0007,-0.0013,0.0011,-1.40,0.86,-0.59,0,3.948,-0.143,-0.106,-0.084,0.017,-0.025,0.000,0.000,0.000,0.000
2040,0.1683,-0.5773,0.0078,-0.0047,0.0021,0.0113,-1.37,0.84,-0.59,0,3.954,-0.026,0.212,-0.222,0.014,-0.024,0.000,0.000,0.000,0.000
2090,0.1690,-0.5780,0.0079,-0.0008,-0.0016,0.0096,-1.35,0.86,-0.58,0,3.948,-0.054,0.033,-0.086,0.018,-0.025,0.000,0.000,0.000,0.000
2142,0.1681,-0.5784,0.0074,-0.0051,-0.0035,0.0051,-1.40,0.88,-0.58,0,3.954,-0.161,0.056,0.210,0.016,-0.026,0.000,0.000,0.000,0.000
2192,0.1701,-0.5790,0.0083,0.0053,-0.0076,0.0093,-1.40,0.87,-0.58,0,3.948,-0.013,0.197,0.281,0.016,-0.025,0.000,0.000,0.000,0.000
2244,0.1682,-0.5784,0.0073,-0.0049,-0.0044,0.0032,-1.36,0.82,-0.58,0,3.954,-0.072,-0.203,-0.048,0.014,-0.024,0.000,0.000,0.000,0.000
2295,0.1701,-0.5790,0.0073,0.0057,-0.0078,0.0038,-1.35,0.86,-0.57,0,3.948,-0.157,0.306,0.147,0.017,-0.024,0.000,0.000,0.000,0.000
2346,0.1699,-0.5782,0.0074,0.0048,-0.0028,0.0046,-1.39,0.84,-0.57,0,3.954,-0.006,-0.062,0.054,0.017,-0.023,0.000,0.000,0.000,0.000
2396,0.1701,-0.5778,0.0078,0.0060,0.0001,0.0065,-1.37,0.85,-0.57,0,3.948,-0.081,-0.049,0.151,0.015,-0.025,0.000,0.000,0.000,0.000
2448,0.1701,-0.5780,0.0077,0.0052,-0.0016,0.0057,-1.40,0.87,-0.56,0,3.954,-0.102,0.258,0.045,0.016,-0.024,0.000,0.000,0.000,0.000
2499,0.1684,-0.5771,0.0076,-0.0039,0.0031,0.0045,-1.37,0.87,-0.56,0,3.948,0.016,0.002,-0.005,0.015,-0.027,0.000,0.000,0.000,0.000
2549,0.1683,-0.5782,0.0094,-0.0035,-0.0029,0.0129,-1.31,0.84,-0.55,0,3.954,-0.343,-0.085,-0.241,0.015,-0.024,0.000,0.000,0.000,0.000
2600,0.1702,-0.5771,0.0082,0.0063,0.0030,0.0045,-1.37,0.81,-0.56,0,3.948,0.172,-0.049,-0.148,0.016,-0.026,0.000,0.000,0.000,0.000
2651,0.1684,-0.5773,0.0070,-0.0032,0.0021,-0.0018,-1.33,0.86,-0.55,0,3.954,0.097,-0.064,-0.242,0.017,-0.024,0.000,0.000,0.000,0.000
