time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,-0.0052,-0.0000,0.0107,0.0025,0.0036,0.0061,-2.11,0.63,0.10,0,3.890,0.287,0.117,-0.220,0.010,-0.038,1.000,0.000,0.000,0.000,0.0110,9,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
100,-0.0055,0.0020,0.0111,0.0008,0.0118,0.0065,-2.09,0.64,0.09,0,3.901,0.038,0.051,-0.047,0.012,-0.036,1.002,0.000,0.000,0.000,0.0100,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
201,-0.0057,0.0054,0.0108,0.0002,0.0253,0.0037,-2.16,0.61,0.09,0,3.890,0.283,-0.127,-0.027,0.011,-0.038,1.000,0.000,0.000,0.000,0.0100,2,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000
302,-0.0062,0.0053,0.0106,-0.0026,0.0195,0.0023,-2.13,0.61,0.09,0,3.901,-0.115,-0.063,-0.195,0.012,-0.036,1.002,0.000,0.000,0.000,0.0080,0,5,0.00,0.00,0.00,0.0000,0.0000,0.0000
403,-0.0057,0.0048,0.0095,0.0004,0.0122,-0.0032,-2.09,0.69,0.09,0,3.890,0.322,0.196,-0.234,0.013,-0.039,1.000,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
504,-0.0050,0.0044,0.0087,0.0051,0.0068,-0.0059,-2.05,0.64,0.09,0,3.901,0.187,-0.116,0.145,0.011,-0.039,0.999,0.000,0.000,0.000,0.0110,6,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
606,-0.0054,0.0057,0.0096,0.0024,0.0101,-0.0006,-2.03,0.63,0.09,0,3.890,0.180,-0.080,0.005,0.013,-0.036,0.998,0.000,0.000,0.000,0.0110,-2,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000
707,-0.0054,0.0043,0.0102,0.0025,0.0005,0.0025,-2.05,0.63,0.09,0,3.901,0.124,-0.184,-0.133,0.013,-0.038,0.998,0.000,0.000,0.000,0.0090,3,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
808,-0.0052,0.0056,0.0098,0.0034,0.0055,-0.0010,-1.95,0.64,0.09,0,3.890,-0.006,0.099,0.076,0.013,-0.038,1.002,0.000,0.000,0.000,0.0110,0,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
909,-0.0056,0.0049,0.0103,0.0011,0.0002,0.0024,-1.98,0.62,0.08,0,3.901,-0.152,-0.202,0.109,0.011,-0.039,0.997,0.000,0.000,0.000,0.0090,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
1011,-0.0054,0.0047,0.0099,0.0021,-0.0022,-0.0004,-1.97,0.65,0.09,0,3.890,0.078,-0.108,0.167,0.013,-0.040,0.999,0.000,0.000,0.000,0.0110,5,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000
1112,-0.0056,0.0056,0.0104,0.0011,0.0011,0.0019,-1.96,0.66,0.09,0,3.901,0.090,0.001,-0.053,0.015,-0.038,1.000,0.000,0.000,0.000,0.0090,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
1213,-0.0054,0.0047,0.0099,0.0029,-0.0047,-0.0006,-1.97,0.67,0.08,0,3.890,-0.079,0.011,-0.186,0.010,-0.036,1.000,0.000,0.000,0.000,0.0110,-1,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
1314,-0.0059,0.0041,0.0104,0.0004,-0.0086,0.0026,-1.96,0.66,0.09,0,3.901,-0.159,0.087,0.202,0.011,-0.040,1.000,0.000,0.000,0.000,0.0090,-5,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
1416,-0.0047,-0.0010,0.0098,0.0064,-0.0348,-0.0004,-1.81,0.60,0.09,0,3.890,-0.013,0.235,0.310,0.013,-0.034,1.000,0.000,0.000,0.000,0.0070,8,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
