time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count
0,-0.0517,0.0672,0.0109,-0.0047,0.0550,0.0025,-0.88,-0.11,0.33,0,4.138,-0.028,-0.025,0.015,-0.002,-0.015,1.002,0.000,0.000,0.000,0.0130,8,-10,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2720,0.9520,0.0000,0.9750,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
101,-0.0504,0.0618,0.0125,0.0022,0.0162,0.0096,-0.81,-0.11,0.34,0,4.138,0.043,-0.004,-0.154,0.003,-0.012,1.000,0.000,0.000,0.000,0.0140,10,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2720,0.9520,0.0000,0.9750,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
201,-0.0493,0.0623,0.0138,0.0075,0.0138,0.0136,-0.67,-0.08,0.35,0,4.138,0.001,-0.109,-0.000,0.001,-0.014,1.001,0.000,0.000,0.000,0.0140,-3,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2720,0.9560,2.0680,0.9730,2.7090,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
303,-0.0495,0.0601,0.0146,0.0057,-0.0003,0.0140,-0.76,-0.04,0.34,0,4.138,0.099,0.013,0.098,0.000,-0.012,1.000,0.000,0.000,0.000,0.0130,-1,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2660,0.9560,2.0680,0.9730,2.7090,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
403,-0.0490,0.0588,0.0140,0.0075,-0.0089,0.0084,-0.72,-0.05,0.34,0,4.138,-0.362,0.026,0.334,-0.001,-0.014,1.000,0.000,0.000,0.000,0.0130,-1,-7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2660,0.9480,1.9520,0.9760,2.7080,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
505,-0.0502,0.0620,0.0140,0.0007,0.0073,0.0066,-0.81,-0.02,0.34,0,4.133,0.084,-0.059,0.199,0.001,-0.017,1.000,0.000,0.000,0.000,0.0080,5,7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2750,0.9480,1.9520,0.9760,2.7080,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
606,-0.0498,0.0624,0.0129,0.0031,0.0059,0.0004,-0.67,0.02,0.35,0,4.138,-0.105,-0.049,0.278,0.003,-0.015,1.000,0.000,0.000,0.000,0.0080,13,-10,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2750,0.9510,2.0430,0.9730,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
707,-0.0512,0.0615,0.0105,-0.0043,-0.0011,-0.0102,-0.54,-0.05,0.35,0,4.138,0.182,-0.128,0.089,0.002,-0.014,0.998,0.000,0.000,0.000,0.0130,0,7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2710,0.9510,2.0430,0.9730,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
809,-0.0491,0.0636,0.0115,0.0068,0.0108,-0.0035,-0.75,0.02,0.34,0,4.138,0.045,0.217,0.106,-0.000,-0.015,1.000,0.000,0.000,0.000,0.0130,-8,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2710,0.9520,2.0460,0.9790,2.7040,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
910,-0.0501,0.0513,0.0120,0.0015,-0.0532,-0.0006,0.03,0.02,0.37,0,4.138,0.477,-0.004,0.002,-0.000,-0.015,1.001,0.000,0.000,0.000,0.0130,4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2730,0.9520,2.0460,0.9790,2.7040,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1011,-0.0502,0.0378,0.0112,0.0007,-0.1115,-0.0049,0.22,-0.03,0.36,0,4.138,-0.047,0.023,-0.042,-0.001,-0.014,0.999,0.000,0.000,0.000,0.0130,10,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2730,0.9500,2.0250,0.9800,2.7120,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1112,-0.0498,0.0403,0.0135,0.0025,-0.0741,0.0081,-0.43,-0.03,0.33,0,4.133,0.147,0.200,0.222,-0.000,-0.014,0.999,0.000,0.000,0.000,0.0120,-2,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2730,0.9500,2.0250,0.9800,2.7120,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1213,-0.0490,0.0450,0.0152,0.0061,-0.0359,0.0142,-0.59,-0.06,0.32,0,4.138,-0.134,-0.193,0.028,-0.001,-0.015,1.001,0.000,0.000,0.000,0.0120,-8,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2730,0.9560,0.0000,0.9770,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1314,-0.0490,0.0448,0.0143,0.0047,-0.0302,0.0080,-0.70,-0.01,0.33,0,4.138,-0.106,-0.134,0.121,-0.001,-0.014,1.003,0.000,0.000,0.000,0.0100,-1,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2780,0.9560,0.0000,0.9770,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1415,-0.0488,0.0464,0.0140,0.0041,-0.0202,0.0053,-0.72,0.05,0.34,0,4.138,-0.083,0.078,-0.000,0.000,-0.015,1.000,0.000,0.000,0.000,0.0100,37,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2780,0.9550,2.0450,0.9760,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
