time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count,canfly,is_tumbled,ctrltarget_z,motor_m1req
0,-3.1693,5.9870,0.0058,-0.0327,-0.0462,0.0083,1.24,0.66,-30.33,0,4.138,0.116,0.047,-0.014,0.010,0.020,1.000,0.000,0.000,0.000,0.0040,-5,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4430,0.0000,1.2380,0.9330,2.6990,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
101,-3.1696,5.9878,0.0064,-0.0265,-0.0327,0.0094,1.15,0.64,-30.18,0,4.144,0.030,0.246,0.040,0.010,0.021,1.000,0.000,0.000,0.000,0.0010,-6,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4470,0.0000,1.2330,0.9330,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
201,-3.1700,5.9891,0.0037,-0.0221,-0.0190,-0.0061,1.07,0.62,-30.03,0,4.138,-0.395,0.099,0.244,0.009,0.021,1.000,0.000,0.000,0.000,0.0050,-14,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4470,0.0000,1.2330,0.9320,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
303,-3.1694,5.9880,0.0035,-0.0135,-0.0189,-0.0056,0.72,0.53,-29.88,0,4.144,0.045,0.041,-0.080,0.010,0.020,0.998,0.000,0.000,0.000,0.0040,-9,7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4520,0.0000,1.2360,0.9320,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
404,-3.1659,5.9951,0.0040,0.0067,0.0203,-0.0022,0.71,0.56,-29.73,0,4.133,0.077,0.108,0.149,0.009,0.019,0.999,0.000,0.000,0.000,0.0050,20,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4520,0.0000,1.2360,0.9290,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
505,-3.1639,5.9985,0.0038,0.0171,0.0371,-0.0027,0.89,0.54,-29.58,0,4.144,-0.066,0.083,0.072,0.010,0.018,0.999,0.000,0.000,0.000,0.0030,4,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4520,0.2450,1.2330,0.9290,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
606,-3.1661,5.9934,0.0040,0.0036,0.0069,-0.0026,0.90,0.55,-29.44,0,4.138,-0.009,0.183,0.238,0.012,0.019,1.000,0.000,0.000,0.000,0.0050,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4520,0.2450,1.2330,0.9350,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
707,-3.1662,5.9937,0.0043,0.0043,0.0085,0.0000,0.88,0.56,-29.29,0,4.144,0.159,-0.043,-0.238,0.014,0.021,1.001,0.000,0.000,0.000,0.0030,9,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4520,0.0000,1.2340,0.9350,2.6950,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
809,-3.1656,5.9934,0.0038,0.0083,0.0064,-0.0033,0.95,0.50,-29.15,0,4.138,0.252,-0.058,-0.135,0.011,0.020,1.000,0.000,0.000,0.000,0.0030,30,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4520,0.0000,1.2340,0.9320,2.6950,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
910,-3.1673,5.9925,0.0037,-0.0015,0.0019,-0.0030,1.18,0.47,-29.01,0,4.144,0.030,-0.238,-0.205,0.009,0.019,0.999,0.000,0.000,0.000,0.0090,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4460,0.0000,1.2370,0.9320,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0
