time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,0.5538,0.0110,0.0060,0.0055,-0.0088,-0.0050,-1.56,0.03,-1.33,0,4.123,0.005,-0.017,0.273,0.001,-0.028,1.001,0.000,0.000,0.000,0.0080,1,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000
100,0.5518,0.0126,0.0063,-0.0059,0.0004,-0.0021,-1.57,0.01,-1.33,0,4.133,0.221,0.058,0.033,0.002,-0.028,1.005,0.000,0.000,0.000,0.0080,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
201,0.5521,0.0129,0.0071,-0.0050,0.0021,0.0032,-1.56,0.01,-1.32,0,4.128,-0.027,0.120,0.139,0.001,-0.030,1.003,0.000,0.000,0.000,0.0070,0,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000
302,0.5525,0.0120,0.0078,-0.0024,-0.0024,0.0069,-1.56,0.04,-1.32,0,4.128,-0.135,0.131,0.047,-0.001,-0.029,1.001,0.000,0.000,0.000,0.0070,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000
403,0.5531,0.0118,0.0077,0.0006,-0.0034,0.0062,-1.56,0.01,-1.31,0,4.128,-0.113,-0.074,0.076,0.002,-0.028,1.000,0.000,0.000,0.000,0.0080,4,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000
505,0.5517,0.0129,0.0071,-0.0070,0.0021,0.0024,-1.59,0.03,-1.30,0,4.128,-0.004,0.065,0.028,-0.000,-0.028,1.001,0.000,0.000,0.000,0.0080,-2,6,0.00,0.00,0.00,0.0000,0.0000,0.0000
607,0.5529,0.0127,0.0077,-0.0004,0.0016,0.0048,-1.62,0.02,-1.30,0,4.128,-0.172,-0.306,0.041,-0.000,-0.031,1.003,0.000,0.000,0.000,0.0090,0,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
707,0.5527,0.0123,0.0087,-0.0018,-0.0018,0.0089,-1.58,0.02,-1.30,0,4.133,-0.113,-0.274,-0.199,-0.001,-0.028,1.002,0.000,0.000,0.000,0.0090,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
809,0.5527,0.0123,0.0092,-0.0012,-0.0014,0.0104,-1.57,0.06,-1.29,0,4.128,-0.096,0.155,-0.112,0.002,-0.027,0.999,0.000,0.000,0.000,0.0080,4,-9,0.00,0.00,0.00,0.0000,0.0000,0.0000
909,0.5518,0.0130,0.0086,-0.0064,0.0025,0.0057,-1.56,0.07,-1.28,0,4.128,-0.186,-0.156,-0.056,-0.001,-0.029,0.999,0.000,0.000,0.000,0.0080,8,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000
