time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd
0,-2.2119,0.6160,0.0125,-0.0167,-0.0441,-0.0026,1.35,0.57,-18.10,0,4.117,-0.039,0.091,-0.306,0.010,0.021,1.002,0.000,0.000,0.000,0.0130,-20,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
101,-2.2067,0.6198,0.0132,0.0143,-0.0144,0.0020,0.79,0.41,-18.00,0,4.128,0.125,-0.291,-0.093,0.009,0.018,1.000,0.000,0.000,0.000,0.0130,8,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
201,-2.2049,0.6249,0.0132,0.0203,0.0142,0.0026,0.86,0.45,-17.93,0,4.117,0.026,-0.086,0.068,0.011,0.020,1.002,0.000,0.000,0.000,0.0140,2,6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
302,-2.2051,0.6189,0.0139,0.0157,-0.0185,0.0059,0.99,0.47,-17.83,0,4.128,0.170,0.187,-0.251,0.009,0.021,1.000,0.000,0.000,0.000,0.0140,1,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
403,-2.2064,0.6188,0.0143,0.0062,-0.0141,0.0067,1.05,0.51,-17.76,0,4.112,0.003,-0.155,0.125,0.008,0.021,1.003,0.000,0.000,0.000,0.0130,-2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
504,-2.2041,0.6262,0.0141,0.0170,0.0263,0.0044,0.72,0.51,-17.68,0,4.128,0.393,0.068,-0.118,0.009,0.019,1.001,0.000,0.000,0.000,0.0160,-7,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
606,-2.2048,0.6253,0.0152,0.0097,0.0169,0.0094,0.77,0.54,-17.57,0,4.117,0.461,0.029,-0.053,0.010,0.021,1.001,0.000,0.000,0.000,0.0140,2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
707,-2.2040,0.6268,0.0151,0.0115,0.0220,0.0070,0.83,0.55,-17.50,0,4.128,0.076,0.105,0.033,0.009,0.019,1.000,0.000,0.000,0.000,0.0160,-15,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
809,-2.2043,0.6240,0.0159,0.0084,0.0038,0.0091,0.83,0.53,-17.41,0,4.117,0.202,-0.184,-0.199,0.008,0.017,1.002,0.000,0.000,0.000,0.0140,0,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
910,-2.2034,0.6281,0.0154,0.0094,0.0230,0.0051,0.83,0.53,-17.33,0,4.128,0.192,-0.154,-0.032,0.010,0.017,1.000,0.000,0.000,0.000,0.0160,4,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
