time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count
0,-3.2912,2.3459,0.0103,0.0016,0.0192,0.0038,-0.89,0.88,-28.75,0,4.144,0.053,-0.066,0.031,0.015,-0.015,1.002,0.000,0.000,0.000,0.0080,-2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4600,0.2190,0.8260,0.3100,2.6980,0
100,-3.2908,2.3456,0.0094,0.0031,0.0129,-0.0004,-0.87,0.86,-28.61,0,4.138,-0.330,-0.190,-0.041,0.013,-0.013,1.000,0.000,0.000,0.000,0.0070,-2,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4600,0.2190,0.8260,0.3100,2.6980,0
202,-3.2911,2.3447,0.0083,0.0014,0.0058,-0.0044,-0.83,0.81,-28.47,0,4.149,-0.081,0.102,-0.022,0.015,-0.016,1.001,0.000,0.000,0.000,0.0090,0,-15,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4630,0.2160,0.8230,0.3100,2.6980,0
304,-3.2911,2.3452,0.0085,0.0014,0.0070,-0.0020,-0.83,0.71,-28.33,0,4.144,0.043,-0.096,-0.170,0.016,-0.014,1.002,0.000,0.000,0.000,0.0080,4,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4630,0.2160,0.8230,0.3100,2.6980,0
406,-3.2891,2.3446,0.0082,0.0099,0.0027,-0.0024,-0.77,0.73,-28.20,0,4.144,0.120,-0.198,-0.377,0.015,-0.015,0.998,0.000,0.000,0.000,0.0090,-15,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4610,0.2180,0.8230,0.3180,2.6940,0
506,-3.2875,2.3451,0.0085,0.0163,0.0041,0.0000,-0.91,0.80,-28.07,0,4.144,0.134,-0.255,-0.176,0.016,-0.014,1.000,0.000,0.000,0.000,0.0110,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4610,0.2180,0.8230,0.3180,2.6940,0
608,-3.2832,2.3397,0.0099,0.0352,-0.0255,0.0072,-0.68,0.56,-27.94,0,4.149,-0.026,-0.363,-0.305,0.018,-0.012,1.001,0.000,0.000,0.000,0.0080,0,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4610,0.2090,0.8240,0.3120,2.6890,0
710,-3.2794,2.3352,0.0092,0.0475,-0.0430,0.0023,-0.65,0.41,-27.82,0,4.138,0.159,-0.049,-0.045,0.015,-0.016,1.000,0.000,0.000,0.000,0.0060,3,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4610,0.2090,0.8240,0.3120,2.6890,0
810,-3.2804,2.3356,0.0080,0.0331,-0.0332,-0.0030,-0.68,0.58,-27.68,0,4.144,0.187,-0.191,0.046,0.017,-0.015,1.001,0.000,0.000,0.000,0.0070,-1,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4540,0.2150,0.8230,0.3120,2.7020,0
912,-3.2794,2.3351,0.0075,0.0316,-0.0301,-0.0042,-0.71,0.67,-27.55,0,4.144,0.141,-0.040,-0.440,0.017,-0.014,1.001,0.000,0.000,0.000,0.0100,3,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4540,0.2150,0.8230,0.3120,2.7020,0
1013,-3.2769,2.3426,0.0086,0.0380,0.0129,0.0020,-0.96,0.79,-27.43,0,4.144,0.068,0.138,-0.101,0.015,-0.014,1.001,0.000,0.000,0.000,0.0100,2,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4630,0.2150,0.8240,0.3080,2.7010,0
1115,-3.2774,2.3426,0.0095,0.0274,0.0106,0.0066,-0.88,0.81,-27.30,0,4.144,-0.008,-0.149,-0.255,0.017,-0.014,0.998,0.000,0.000,0.000,0.0090,1,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4630,0.2150,0.8240,0.3080,2.7010,0
1216,-3.2771,2.3428,0.0095,0.0232,0.0105,0.0056,-0.88,0.88,-27.18,0,4.144,0.036,-0.135,-0.266,0.015,-0.015,1.000,0.000,0.000,0.000,0.0100,0,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4610,0.2150,0.8240,0.3090,2.6960,0
1318,-3.2780,2.3430,0.0100,0.0132,0.0100,0.0070,-0.87,0.87,-27.05,0,4.144,0.039,-0.054,0.018,0.014,-0.013,1.001,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4610,0.2150,0.8240,0.3090,2.6960,0
1418,-3.2774,2.3421,0.0094,0.0114,0.0029,0.0028,-0.84,0.91,-26.92,0,4.149,-0.150,0.123,-0.067,0.015,-0.014,1.002,0.000,0.000,0.000,0.0100,-5,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2080,0.8200,0.3100,2.6940,0
1519,-3.2775,2.3432,0.0098,0.0084,0.0077,0.0048,-0.88,0.94,-26.80,0,4.144,-0.018,-0.342,-0.242,0.017,-0.012,1.001,0.000,0.000,0.000,0.0090,2,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2080,0.8200,0.3100,2.6940,0
1571,-3.2773,2.3436,0.0097,0.0062,0.0080,0.0040,-0.81,0.94,-26.66,0,4.144,0.112,0.019,-0.214,0.013,-0.016,1.000,0.000,0.000,0.000,0.0090,-1,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4560,0.2210,0.8280,0.3110,2.6910,0
1621,-3.2772,2.3422,0.0095,0.0050,-0.0008,0.0025,-0.84,0.94,-26.54,0,4.144,0.019,-0.322,-0.139,0.018,-0.015,1.000,0.000,0.000,0.000,0.0110,-24,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4560,0.2210,0.8280,0.3110,2.6910,0
1673,-3.2747,2.3415,0.0104,0.0145,-0.0045,0.0069,-1.01,0.81,-26.41,0,4.144,0.016,-0.085,0.013,0.017,-0.014,1.002,0.000,0.000,0.000,0.0100,6,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4600,0.2130,0.8240,0.3100,2.6930,0
1723,-3.2710,2.3466,0.0106,0.0281,0.0191,0.0061,-0.90,0.79,-26.29,0,4.138,0.087,-0.227,-0.458,0.014,-0.014,0.997,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4600,0.2130,0.8240,0.3100,2.6930,0
1774,-3.2709,2.3469,0.0096,0.0218,0.0177,0.0004,-0.94,0.87,-26.17,0,4.149,0.062,-0.483,-0.219,0.014,-0.016,1.000,0.000,0.000,0.000,0.0080,-3,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2130,0.8210,0.3120,2.6910,0
1826,-3.2708,2.3472,0.0090,0.0173,0.0159,-0.0023,-0.91,0.87,-26.08,0,4.138,0.041,0.146,-0.059,0.014,-0.014,1.002,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2130,0.8210,0.3120,2.6910,0
1878,-3.2713,2.3476,0.0094,0.0098,0.0143,0.0010,-0.82,0.90,-25.96,0,4.144,-0.156,0.209,0.027,0.016,-0.012,1.002,0.000,0.000,0.000,0.0090,-6,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2070,0.8240,0.3110,2.6940,0
1929,-3.2704,2.3472,0.0093,0.0110,0.0099,0.0005,-0.83,0.92,-25.84,0,4.144,0.052,-0.239,-0.278,0.013,-0.015,1.000,0.000,0.000,0.000,0.0090,0,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2070,0.8240,0.3110,2.6940,0
1979,-3.2704,2.3474,0.0092,0.0080,0.0084,0.0009,-0.76,0.95,-25.72,0,4.144,0.073,0.046,-0.365,0.016,-0.015,0.999,0.000,0.000,0.000,0.0100,-6,-10,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2170,0.8230,0.3110,2.6930,0
2031,-3.2746,2.3491,0.0097,-0.0145,0.0146,0.0032,-0.89,1.23,-25.59,0,4.138,-0.153,0.074,0.296,0.016,-0.012,1.001,0.000,0.000,0.000,0.0070,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2170,0.8230,0.3110,2.6930,0
2083,-3.2792,2.3537,0.0085,-0.0335,0.0322,-0.0022,-0.81,1.27,-25.48,0,4.149,-0.136,-0.008,0.020,0.016,-0.016,1.002,0.000,0.000,0.000,0.0090,-4,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4590,0.2190,0.8230,0.3160,2.6940,0
2134,-3.2804,2.3535,0.0088,-0.0336,0.0233,0.0001,-0.81,1.15,-25.34,0,4.138,0.247,-0.260,-0.166,0.015,-0.016,1.001,0.000,0.000,0.000,0.0080,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4590,0.2190,0.8230,0.3160,2.6940,0
2185,-3.2795,2.3543,0.0085,-0.0238,0.0213,-0.0009,-0.77,1.09,-25.25,0,4.144,0.082,-0.038,-0.165,0.015,-0.016,1.000,0.000,0.000,0.000,0.0070,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4600,0.2140,0.8260,0.3120,2.6950,0
2237,-3.2785,2.3528,0.0079,-0.0157,0.0083,-0.0028,-0.67,0.98,-25.14,0,4.144,-0.085,0.074,-0.286,0.016,-0.016,1.002,0.000,0.000,0.000,0.0100,-5,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4600,0.2140,0.8260,0.3120,2.6950,0
2287,-3.2784,2.3525,0.0090,-0.0127,0.0036,0.0034,-0.72,0.97,-25.02,0,4.144,-0.056,0.102,0.092,0.016,-0.016,1.000,0.000,0.000,0.000,0.0060,2,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4660,0.2140,0.8260,0.3080,2.6940,0
2338,-3.2785,2.3527,0.0077,-0.0114,0.0031,-0.0028,-0.65,0.88,-24.91,0,4.144,0.386,0.023,-0.253,0.015,-0.014,1.000,0.000,0.000,0.000,0.0070,4,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4660,0.2140,0.8260,0.3080,2.6940,0
2389,-3.2782,2.3526,0.0073,-0.0085,0.0016,-0.0038,-0.71,0.89,-24.79,0,4.149,0.058,0.062,-0.101,0.016,-0.018,1.001,0.000,0.000,0.000,0.0080,-7,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4650,0.2180,0.8240,0.3120,2.6930,0
2441,-3.2785,2.3527,0.0075,-0.0084,0.0007,-0.0018,-0.75,0.90,-24.67,0,4.138,-0.171,-0.040,0.259,0.015,-0.014,0.999,0.000,0.000,0.000,0.0060,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4650,0.2180,0.8240,0.3120,2.6930,0
2492,-3.2785,2.3517,0.0067,-0.0070,-0.0053,-0.0037,-0.69,0.88,-24.56,0,4.144,-0.152,-0.354,-0.296,0.015,-0.015,1.001,0.000,0.000,0.000,0.0050,-2,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4660,0.2180,0.8250,0.3130,2.6970,0
2542,-3.2783,2.3526,0.0058,-0.0050,-0.0010,-0.0065,-0.72,0.91,-24.44,0,4.144,0.186,0.091,-0.317,0.014,-0.015,0.999,0.000,0.000,0.000,0.0090,0,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4660,0.2180,0.8250,0.3130,2.6970,0
2594,-3.2731,2.3469,0.0072,0.0210,-0.0291,0.0019,-0.65,0.64,-24.33,0,4.144,-0.158,-0.247,-0.199,0.017,-0.017,0.999,0.000,0.000,0.000,0.0120,4,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.4570,0.2130,0.8230,0.3140,2.6920,0
