time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count
0,0.9472,0.9076,0.0110,-0.0038,-0.0061,-0.0064,-0.00,-0.05,-36.64,0,3.806,0.321,0.094,-0.020,0.002,0.003,1.000,0.000,0.000,0.000,0.0120,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9090,0.2760,1.1270,1.1550,2.7050,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
101,0.9472,0.9072,0.0113,-0.0022,-0.0065,-0.0039,-0.00,-0.05,-36.46,0,3.816,0.012,-0.140,-0.132,-0.003,0.000,0.999,0.000,0.000,0.000,0.0140,-1,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.8990,0.2580,1.1240,1.1510,2.6990,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
203,0.9473,0.9073,0.0125,-0.0014,-0.0048,0.0021,-0.02,-0.08,-36.28,0,3.806,0.123,-0.106,0.201,-0.001,-0.001,1.001,0.000,0.000,0.000,0.0140,-7,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.8990,0.2580,1.1240,1.1510,2.6990,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
304,0.9475,0.9072,0.0134,0.0001,-0.0047,0.0060,-0.08,-0.03,-36.10,0,3.811,0.089,0.095,0.122,0.000,0.000,0.998,0.000,0.000,0.000,0.0110,-11,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9080,0.2640,1.1250,1.1530,2.6920,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
404,0.9469,0.9076,0.0126,-0.0022,-0.0017,0.0017,-0.13,-0.02,-35.93,0,3.801,0.201,-0.044,-0.074,-0.002,0.002,1.000,0.000,0.000,0.000,0.0090,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9080,0.2640,1.1250,1.1530,2.6920,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
506,0.9473,0.9073,0.0110,0.0003,-0.0028,-0.0059,-0.04,-0.04,-35.75,0,3.811,0.240,-0.015,-0.349,-0.001,-0.001,0.999,0.000,0.000,0.000,0.0130,-15,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9040,0.2640,1.1260,1.1550,2.6920,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
607,0.9477,0.9102,0.0118,0.0009,0.0107,-0.0008,-0.23,-0.04,-35.58,0,3.806,0.068,0.083,-0.086,0.000,0.000,1.001,0.000,0.000,0.000,0.0150,-6,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9040,0.2640,1.1260,1.1550,2.6920,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
709,0.9448,0.9054,0.0136,-0.0140,-0.0142,0.0081,0.07,0.00,-35.41,0,3.816,0.017,0.076,0.031,-0.000,-0.000,1.001,0.000,0.000,0.000,0.0140,-6,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9110,0.0000,1.1240,1.1570,2.6990,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
811,0.9438,0.9052,0.0142,-0.0164,-0.0135,0.0089,0.06,-0.04,-35.23,0,3.806,-0.309,0.205,0.021,-0.003,0.002,0.997,0.000,0.000,0.000,0.0110,-4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9110,0.0000,1.1240,1.1570,2.6990,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
913,0.9434,0.9034,0.0129,-0.0166,-0.0200,0.0004,0.12,-0.02,-35.06,0,3.811,-0.068,0.243,0.010,-0.000,-0.002,0.999,0.000,0.000,0.000,0.0080,-3,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9080,0.2600,1.1250,1.1590,2.6950,4,0.0000,0.0000,0.0000,0.0000,0.0000,0
