time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count,canfly,is_tumbled,ctrltarget_z,motor_m1req,ctrltarget_x,ctrltarget_y,motor_m2req,motor_m3req,motor_m4req
0,-1.3256,0.8465,0.0055,0.1052,0.0143,-0.0138,-1.34,0.98,-82.90,0,4.080,-0.074,0.133,0.022,0.020,-0.008,0.997,0.000,0.000,0.000,0.0060,0,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0680,0.0700,1.1760,1.2430,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
151,-1.3224,0.8462,0.0056,0.0998,0.0101,-0.0096,-1.44,1.05,-82.52,0,4.091,-0.027,-0.140,0.197,0.018,-0.009,0.999,0.000,0.000,0.000,0.0070,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0680,0.0680,1.1750,1.2450,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
302,-1.3168,0.8490,0.0061,0.1066,0.0208,-0.0043,-1.19,1.00,-82.14,0,4.080,-0.015,0.157,0.309,0.019,-0.008,0.999,0.000,0.000,0.000,0.0090,1,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0680,0.0680,1.1750,1.2450,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
454,-1.3170,0.8481,0.0077,0.0837,0.0120,0.0066,-1.01,0.93,-81.76,0,4.091,0.189,-0.244,-0.044,0.018,-0.010,0.997,0.000,0.000,0.000,0.0090,0,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0690,0.0690,1.1740,1.2380,2.7040,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
604,-1.3204,0.8469,0.0090,0.0461,0.0032,0.0126,-0.48,0.95,-81.40,0,4.080,0.085,-0.102,-0.046,0.020,-0.008,0.999,0.000,0.000,0.000,0.0090,-2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0690,0.0690,1.1740,1.2380,2.7040,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
756,-1.3182,0.8486,0.0094,0.0499,0.0098,0.0116,-0.88,1.02,-81.03,0,4.091,0.091,0.128,-0.166,0.020,-0.005,0.999,0.000,0.000,0.000,0.0090,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0600,0.0640,1.1750,1.2350,2.6980,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
907,-1.3134,0.8491,0.0097,0.0608,0.0089,0.0099,-0.71,1.00,-80.66,0,4.080,-0.344,-0.132,0.484,0.020,-0.008,0.999,0.000,0.000,0.000,0.0080,2,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0600,0.0640,1.1750,1.2350,2.6980,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
959,-1.3178,0.8488,0.0095,0.0224,0.0041,0.0071,-0.56,1.02,-80.29,0,4.091,0.279,0.139,-0.339,0.019,-0.009,0.998,0.000,0.000,0.000,0.0070,-5,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0670,0.0630,1.1770,1.2400,2.7050,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1009,-1.3137,0.8499,0.0088,0.0354,0.0071,0.0006,-0.46,1.02,-79.92,0,4.080,0.199,0.100,0.084,0.020,-0.008,1.002,0.000,0.000,0.000,0.0070,1,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0670,0.0630,1.1770,1.2400,2.7050,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1061,-1.3134,0.8506,0.0081,0.0287,0.0073,-0.0030,-0.42,1.02,-79.56,0,4.091,0.054,0.143,0.042,0.018,-0.009,1.001,0.000,0.000,0.000,0.0080,-3,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0650,0.0680,1.1760,1.2430,2.7080,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1113,-1.3144,0.8506,0.0080,0.0166,0.0043,-0.0028,-0.36,0.95,-79.20,0,4.080,0.213,-0.039,-0.295,0.018,-0.007,0.999,0.000,0.000,0.000,0.0090,-8,9,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0650,0.0680,1.1760,1.2430,2.7080,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1164,-1.3166,0.8489,0.0084,-0.0013,-0.0069,0.0010,-0.15,0.90,-78.84,0,4.091,-0.028,-0.007,-0.088,0.020,-0.007,1.000,0.000,0.000,0.000,0.0080,-5,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0630,0.0680,1.1740,1.2400,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1215,-1.3195,0.8475,0.0083,-0.0193,-0.0146,-0.0000,-0.06,0.90,-78.47,0,4.080,-0.002,0.035,-0.037,0.018,-0.007,1.002,0.000,0.000,0.000,0.0080,-7,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0630,0.0680,1.1740,1.2400,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1266,-1.3149,0.8489,0.0083,0.0083,-0.0048,0.0005,-0.25,0.95,-78.11,0,4.091,0.167,0.030,0.223,0.019,-0.007,1.001,0.000,0.000,0.000,0.0100,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0680,0.0680,1.1720,1.2370,2.6940,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1317,-1.3199,0.8465,0.0091,-0.0212,-0.0177,0.0044,-0.05,0.89,-77.75,0,4.080,-0.082,-0.229,-0.014,0.019,-0.008,1.002,0.000,0.000,0.000,0.0070,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0680,0.0680,1.1720,1.2370,2.6940,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1369,-1.3230,0.8454,0.0083,-0.0340,-0.0209,-0.0010,-0.03,0.88,-77.39,0,4.091,-0.018,-0.299,0.140,0.018,-0.008,0.999,0.000,0.000,0.000,0.0080,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0670,0.0710,1.1780,1.2440,2.6960,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
1420,-1.3219,0.8449,0.0082,-0.0218,-0.0206,-0.0008,-0.12,0.94,-77.10,0,4.086,0.198,-0.007,-0.206,0.019,-0.006,1.000,0.000,0.000,0.000,0.0040,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.0670,0.0710,1.1780,1.2440,2.6960,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0400,0,0.0014,-0.0031,0,0,0
