time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,0.0082,-0.0020,-0.0026,-0.86,1.56,-68.34,0.005,0.231,-0.404,-0.068
0,0.0213,-0.0002,-0.0030,-0.96,1.54,-68.28,0.005,-0.022,-0.053,0.160
0,0.0243,0.0015,-0.0032,-0.99,1.55,-68.22,0.005,0.108,-0.339,0.200
0,0.0242,0.0018,-0.0033,-0.99,1.55,-68.15,0.005,0.178,0.003,0.321
0,0.0132,0.0023,-0.0028,-0.90,1.58,-68.09,0.005,0.450,-0.344,-0.139
0,0.0147,-0.0008,-0.0105,-0.91,1.55,-68.02,0.005,0.315,-0.092,-0.114
0,0.0159,0.0003,-0.0106,-0.92,1.56,-67.95,0.005,0.253,-0.608,0.037
0,0.0161,-0.0030,-0.0105,-0.91,1.53,-67.89,0.008,0.475,-0.380,-0.436
0,0.0146,-0.0016,-0.0104,-0.90,1.54,-67.83,0.008,0.193,0.071,0.021
0,0.0229,0.0010,-0.0070,-0.97,1.54,-67.76,0.008,0.166,-0.236,-0.111
0,0.0226,0.0014,-0.0068,-0.96,1.54,-67.70,0.008,0.475,-0.141,-0.077
0,0.0155,-0.0036,-0.0063,-0.89,1.52,-67.64,0.008,0.081,-0.189,-0.173
0,0.0157,-0.0002,-0.0063,-0.90,1.54,-67.58,0.010,0.237,-0.363,-0.459
1,0.0089,0.0013,-0.0060,-0.86,1.58,-67.51,0.010,0.078,-0.523,0.065
1,0.0159,-0.0019,-0.0057,-0.90,1.53,-67.45,0.010,0.272,-0.295,-0.054
1,0.0222,-0.0036,0.0018,-0.93,1.50,-67.39,0.010,0.271,-0.277,0.195
1,0.0128,0.0009,0.0021,-0.88,1.57,-67.32,0.010,0.318,-0.374,-0.290
1,0.0056,0.0008,0.0022,-0.82,1.59,-67.26,0.005,0.166,-0.164,0.139
1,0.0092,-0.0026,0.0022,-0.84,1.55,-67.26,0.005,0.380,-0.366,-0.082
1,0.0030,0.0020,-0.0043,-0.81,1.61,-67.14,0.005,0.106,-0.430,-0.103
1,0.0110,0.0004,-0.0043,-0.87,1.57,-67.13,0.005,0.063,-0.167,-0.126
1,0.0084,0.0009,-0.0046,-0.85,1.58,-67.01,0.005,0.489,-0.290,-0.074
1,0.0017,0.0008,-0.0045,-0.80,1.60,-67.01,0.010,0.094,-0.239,-0.252
1,0.0045,0.0021,-0.0043,-0.82,1.61,-66.89,0.010,0.258,-0.089,-0.197
1,0.0027,-0.0062,-0.0042,-0.78,1.55,-66.89,0.010,0.099,-0.532,0.088
1,0.0120,-0.0026,0.0033,-0.86,1.55,-66.76,0.010,0.215,-0.043,0.187
1,0.0046,0.0012,0.0035,-0.81,1.60,-66.70,0.010,0.205,-0.172,-0.165
1,0.0051,0.0019,0.0036,-0.82,1.60,-66.64,0.009,0.158,-0.547,0.035
2,-0.0018,0.0018,0.0038,-0.77,1.62,-66.57,0.009,0.047,-0.303,-0.099
2,-0.0021,0.0022,0.0053,-0.77,1.62,-66.51,0.009,0.195,-0.206,-0.282
2,-0.0239,-0.0164,0.0055,-0.56,1.55,-66.45,0.009,0.273,-0.183,0.154
2,-0.0383,-0.0154,0.0050,-0.46,1.60,-66.39,0.009,0.334,-0.373,-0.467
2,-0.0339,-0.0120,0.0054,-0.51,1.61,-66.33,0.007,0.130,-0.140,-0.077
2,-0.0360,-0.0128,0.0052,-0.50,1.61,-66.27,0.007,0.183,-0.534,-0.099
2,-0.0358,-0.0154,0.0007,-0.49,1.59,-66.21,0.007,-0.019,-0.465,-0.073
2,-0.0337,-0.0223,0.0008,-0.49,1.54,-66.14,0.007,0.183,-0.491,-0.120
2,-0.0287,-0.0156,0.0014,-0.55,1.57,-66.08,0.007,0.100,-0.333,0.310
