time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y
0,0.0248,0.0147,-0.0096,-0.91,-0.56,-44.94,0.007,-0.023,0.386,0.032,0.7639,1.0853
0,0.0251,0.0148,-0.0095,-0.91,-0.56,-44.90,0.007,-0.356,-0.007,0.241,0.7665,1.0870
0,0.0216,0.0183,-0.0093,-0.91,-0.52,-44.85,0.007,-0.007,0.482,-0.139,0.7695,1.0904
0,0.0189,0.0125,-0.0089,-0.85,-0.54,-44.80,0.007,-0.000,0.234,0.196,0.7702,1.0908
0,0.0323,0.0213,-0.0094,-0.98,-0.56,-44.72,0.007,-0.250,0.308,0.163,0.7704,1.0903
0,0.0468,0.0384,-0.0111,-1.16,-0.55,-44.72,0.007,-0.044,0.316,0.215,0.7684,1.0905
0,0.0493,0.0401,-0.0112,-1.17,-0.56,-44.63,0.008,-0.221,0.141,0.030,0.7696,1.0914
0,0.0474,0.0354,-0.0106,-1.13,-0.58,-44.63,0.008,-0.050,0.184,0.017,0.7693,1.0904
0,0.0349,0.0348,-0.0088,-1.05,-0.51,-44.54,0.008,-0.015,0.272,0.130,0.7695,1.0903
0,0.0396,0.0379,-0.0055,-1.09,-0.52,-44.54,0.008,-0.025,0.147,0.032,0.7696,1.0904
1,0.0367,0.0314,-0.0048,-1.03,-0.54,-44.45,0.010,0.129,0.345,0.094,0.7691,1.0904
1,0.0355,0.0289,-0.0046,-1.01,-0.55,-44.45,0.010,-0.030,0.194,-0.096,0.7739,1.0963
1,0.0348,0.0287,-0.0042,-0.99,-0.55,-44.37,0.010,0.070,0.081,-0.012,0.7745,1.0969
1,0.0299,0.0272,0.0025,-0.96,-0.53,-44.37,0.010,-0.085,-0.041,0.052,0.7746,1.0970
1,0.0554,0.0587,0.0004,-1.27,-0.51,-44.32,0.010,-0.018,0.092,-0.196,0.7741,1.0964
1,0.0560,0.0592,0.0005,-1.27,-0.51,-44.28,0.010,-0.144,0.121,0.138,0.7745,1.0957
1,0.0540,0.0573,0.0013,-1.24,-0.51,-44.24,0.010,-0.187,0.233,0.266,0.7768,1.0984
1,0.0482,0.0513,0.0028,-1.17,-0.51,-44.19,0.010,-0.073,0.374,0.151,0.7772,1.1000
1,0.0485,0.0448,0.0035,-1.12,-0.55,-44.15,0.010,-0.246,0.251,-0.088,0.7784,1.1012
1,0.0591,0.0574,0.0060,-1.25,-0.54,-44.11,0.010,-0.241,0.117,-0.098,0.7790,1.1019
2,0.0588,0.0638,0.0058,-1.27,-0.50,-44.06,0.011,-0.183,0.074,-0.037,0.7790,1.1028
2,0.0625,0.0673,0.0053,-1.31,-0.51,-44.02,0.011,-0.160,0.210,-0.012,0.7786,1.1020
2,0.0632,0.0680,0.0056,-1.31,-0.51,-43.98,0.011,-0.176,0.183,0.211,0.7791,1.1026
2,0.0606,0.0700,0.0102,-1.29,-0.48,-43.94,0.011,-0.214,0.296,0.062,0.7788,1.1019
2,0.0553,0.0626,0.0116,-1.21,-0.50,-43.90,0.011,0.009,0.217,-0.128,0.7787,1.1031
2,0.0558,0.0632,0.0117,-1.21,-0.50,-43.85,0.011,0.030,0.409,0.118,0.7800,1.1018
2,0.0514,0.0563,0.0131,-1.14,-0.51,-43.81,0.012,-0.072,0.069,0.260,0.7756,1.0972
2,0.0487,0.0603,0.0132,-1.15,-0.48,-43.77,0.012,-0.181,0.176,0.026,0.7752,1.0976
2,0.0533,0.0506,0.0140,-1.11,-0.56,-43.72,0.012,-0.243,0.011,0.088,0.7758,1.0982
2,0.0271,0.0231,0.0195,-0.79,-0.56,-43.68,0.012,0.373,-0.034,0.009,0.7753,1.0962
2,0.0231,0.0242,0.0196,-0.78,-0.53,-43.64,0.013,-0.130,0.083,0.064,0.7805,1.1017
2,0.0252,0.0265,0.0197,-0.80,-0.53,-43.60,0.013,-0.188,0.132,0.029,0.7808,1.1008
2,0.0215,0.0142,0.0204,-0.71,-0.58,-43.55,0.013,-0.038,0.241,-0.160,0.7799,1.1014
2,0.0481,0.0428,0.0202,-1.03,-0.58,-43.51,0.013,0.101,0.050,0.067,0.7811,1.1023
2,0.0473,0.0355,0.0206,-0.98,-0.62,-43.46,0.013,0.176,-0.003,-0.224,0.7794,1.1015
2,0.0397,0.0367,0.0213,-0.94,-0.57,-43.42,0.013,-0.042,0.048,-0.097,0.7771,1.0990
2,0.0441,0.0399,0.0211,-0.98,-0.58,-43.38,0.011,-0.051,-0.017,-0.085,0.7769,1.0984
3,0.0331,0.0336,0.0224,-0.88,-0.55,-43.34,0.011,-0.033,-0.056,-0.207,0.7754,1.0989
3,0.0189,0.0185,0.0239,-0.71,-0.55,-43.30,0.011,-0.153,0.112,-0.109,0.7766,1.0978
3,0.0167,0.0144,0.0158,-0.68,-0.56,-43.26,0.011,0.129,0.210,-0.086,0.7767,1.0975
3,0.0076,0.0163,0.0161,-0.64,-0.49,-43.22,0.010,-0.233,0.031,-0.069,0.7760,1.0968
3,0.0136,0.0091,0.0165,-0.64,-0.57,-43.18,0.010,-0.172,0.339,-0.008,0.7721,1.0941
3,0.0128,0.0068,0.0167,-0.62,-0.58,-43.14,0.010,-0.141,0.300,0.146,0.7721,1.0944
3,0.0084,0.0027,0.0090,-0.58,-0.58,-43.09,0.010,-0.027,-0.254,-0.329,0.7723,1.0931
3,-0.0136,-0.0121,0.0092,-0.37,-0.53,-43.05,0.010,-0.026,0.126,0.060,0.7719,1.0932
3,-0.0133,-0.0102,0.0096,-0.39,-0.53,-43.01,0.010,0.051,0.354,-0.167,0.7681,1.0890
3,-0.0117,-0.0172,0.0097,-0.36,-0.58,-42.97,0.006,0.061,0.185,0.021,0.7669,1.0878
3,-0.0136,-0.0163,0.0100,-0.36,-0.56,-42.93,0.006,-0.019,0.298,0.322,0.7684,1.0892
3,-0.0338,-0.0385,0.0085,-0.12,-0.56,-42.89,0.006,-0.049,-0.094,0.396,0.7694,1.0914
3,-0.0388,-0.0440,-0.0062,-0.07,-0.56,-42.85,0.006,0.050,0.027,-0.406,0.7692,1.0919
3,-0.0288,-0.0351,-0.0046,-0.19,-0.57,-42.81,0.010,-0.414,0.124,0.244,0.7689,1.0924
3,-0.0227,-0.0216,-0.0032,-0.31,-0.53,-42.76,0.010,0.077,0.209,0.155,0.7698,1.0922
3,-0.0228,-0.0187,-0.0030,-0.33,-0.52,-42.72,0.010,0.009,0.583,-0.061,0.7696,1.0926
3,-0.0238,-0.0154,-0.0026,-0.36,-0.49,-42.67,0.010,-0.079,-0.124,0.093,0.7690,1.0926
3,-0.0182,-0.0167,-0.0023,-0.39,-0.53,-42.63,0.010,0.037,0.024,0.031,0.7694,1.0927
3,-0.0185,-0.0140,-0.0020,-0.41,-0.52,-42.59,0.010,-0.287,0.275,0.322,0.7685,1.0911
3,-0.0211,-0.0138,-0.0019,-0.40,-0.50,-42.54,0.011,-0.242,0.379,-0.024,0.7704,1.0913
3,-0.0179,-0.0125,-0.0015,-0.43,-0.52,-42.50,0.011,0.097,-0.034,-0.043,0.7690,1.0923
3,-0.0225,-0.0216,-0.0016,-0.36,-0.54,-42.47,0.011,-0.166,0.248,0.189,0.7694,1.0917
3,-0.0110,-0.0195,0.0017,-0.43,-0.59,-42.42,0.011,-0.087,0.138,0.148,0.7692,1.0915
3,-0.0182,-0.0136,0.0022,-0.44,-0.52,-42.38,0.009,-0.042,0.153,0.092,0.7698,1.0922
3,-0.0158,-0.0165,0.0025,-0.44,-0.55,-42.34,0.009,0.118,0.192,-0.185,0.7703,1.0928
4,-0.0162,-0.0171,0.0025,-0.44,-0.55,-42.30,0.009,0.058,0.054,0.129,0.7698,1.0922
4,-0.0123,-0.0129,-0.0007,-0.49,-0.55,-42.26,0.009,-0.128,0.263,0.062,0.7696,1.0924
4,-0.0086,-0.0089,-0.0003,-0.53,-0.56,-42.21,0.009,-0.060,0.280,0.139,0.7692,1.0919
4,-0.0112,-0.0124,-0.0001,-0.50,-0.56,-42.17,0.009,0.080,0.475,-0.050,0.7683,1.0908
4,-0.0116,-0.0116,0.0004,-0.51,-0.55,-42.13,0.007,-0.121,0.105,-0.214,0.7694,1.0889
4,-0.0135,-0.0139,0.0006,-0.49,-0.55,-42.09,0.007,-0.232,0.361,0.213,0.7661,1.0877
4,-0.0185,-0.0196,0.0006,-0.43,-0.55,-42.05,0.007,-0.337,0.215,0.230,0.7671,1.0888
4,-0.0116,-0.0292,-0.0062,-0.42,-0.65,-42.01,0.007,-0.399,0.447,-0.050,0.7679,1.0901
4,-0.0294,-0.0349,-0.0065,-0.29,-0.57,-41.97,0.011,-0.096,0.128,-0.106,0.7665,1.0907
4,-0.0230,-0.0278,-0.0056,-0.38,-0.57,-41.93,0.011,-0.349,0.013,0.215,0.7650,1.0904
4,-0.0178,-0.0204,-0.0048,-0.46,-0.56,-41.88,0.011,-0.170,0.190,0.329,0.7661,1.0903
4,-0.0245,-0.0164,0.0007,-0.46,-0.50,-41.84,0.011,0.087,0.100,-0.048,0.7655,1.0908
4,-0.0313,-0.0180,0.0007,-0.41,-0.47,-41.79,0.011,-0.392,0.374,0.107,0.7656,1.0907
4,-0.0243,-0.0177,0.0011,-0.46,-0.51,-41.75,0.011,0.075,0.275,-0.276,0.7631,1.0875
4,-0.0264,-0.0142,0.0012,-0.47,-0.48,-41.71,0.009,-0.051,0.203,0.097,0.7629,1.0863
4,-0.0244,-0.0146,0.0013,-0.48,-0.50,-41.67,0.009,0.056,0.184,-0.254,0.7618,1.0873
4,-0.0376,-0.0317,0.0003,-0.32,-0.51,-41.63,0.009,-0.115,0.210,0.007,0.7626,1.0873
4,-0.0371,-0.0370,-0.0008,-0.29,-0.55,-41.59,0.009,-0.137,0.232,-0.216,0.7624,1.0867
4,-0.0413,-0.0305,-0.0004,-0.32,-0.48,-41.55,0.010,-0.064,0.029,-0.040,0.7634,1.0879
4,-0.0350,-0.0292,0.0004,-0.36,-0.52,-41.51,0.010,0.059,0.038,-0.039,0.7610,1.0847
4,-0.0351,-0.0317,0.0005,-0.36,-0.53,-41.47,0.010,-0.157,0.144,0.032,0.7595,1.0852
4,-0.0277,-0.0237,0.0026,-0.45,-0.54,-41.43,0.010,-0.222,0.230,-0.031,0.7602,1.0861
4,-0.0405,-0.0403,0.0019,-0.28,-0.55,-41.39,0.010,-0.350,0.130,0.062,0.7604,1.0856
4,-0.0468,-0.0361,0.0019,-0.28,-0.49,-41.34,0.010,-0.160,0.295,0.039,0.7594,1.0835
4,-0.0405,-0.0300,0.0030,-0.36,-0.49,-41.30,0.012,-0.194,0.150,-0.004,0.7615,1.0856
