time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,-0.0256,0.1075,0.0027,-0.10,0.00,0.01,0.015,0.007,-0.025,-0.297,-0.0268,0.1003,0.0002,0.0064,1.0007,0.0000,0.0000,0.2200,0.0000,0.0000
9,-0.0256,0.1081,0.0027,-0.10,0.00,0.01,0.015,-0.021,0.122,0.092,-0.0271,0.1014,0.0019,0.0055,1.0002,0.0000,0.0000,0.2200,0.0000,0.0000
21,-0.0256,0.1085,0.0044,-0.11,0.00,0.01,0.015,0.061,0.129,-0.152,-0.0273,0.1025,-0.0001,-0.0003,1.0010,0.0000,0.0000,0.2200,0.0000,0.0000
29,-0.0257,0.1091,0.0045,-0.11,0.00,0.00,0.015,0.477,-0.085,0.272,-0.0276,0.1036,-0.0070,-0.0073,0.9996,0.0000,0.0000,0.2200,0.0000,0.0000
39,-0.0257,0.1098,0.0043,-0.10,0.00,0.00,0.015,-0.103,-0.175,-0.076,-0.0279,0.1047,-0.0064,-0.0192,0.9947,0.0000,0.0000,0.2200,0.0000,0.0000
49,-0.0257,0.1106,0.0043,-0.10,0.00,0.00,0.012,-0.883,-0.481,1.089,-0.0282,0.1065,0.0050,0.0017,0.9834,0.0000,0.0000,0.2200,0.0000,0.0000
59,-0.0256,0.1113,0.0043,-0.10,0.00,0.00,0.012,-0.883,-0.859,2.217,-0.0285,0.1076,-0.0098,0.0240,0.9920,0.0000,0.0000,0.2200,0.0000,0.0000
69,-0.0256,0.1116,0.0045,-0.10,0.00,0.00,0.012,-0.646,0.213,0.621,-0.0287,0.1088,-0.0014,0.0007,1.0004,0.0000,0.0000,0.2200,0.0000,0.0000
79,-0.0263,0.1126,-0.0016,-0.11,0.00,0.00,0.012,-0.155,0.475,0.200,-0.0290,0.1099,-0.0074,0.0106,1.0067,0.0000,0.0000,0.2200,0.0000,0.0000
89,-0.0263,0.1128,-0.0017,-0.11,0.01,0.00,0.013,-0.907,0.218,0.954,-0.0293,0.1110,0.0115,0.0221,1.0006,0.0000,0.0000,0.2200,0.0000,0.0000
99,-0.0263,0.1130,-0.0017,-0.11,0.01,-0.01,0.013,-0.754,-0.114,0.929,-0.0295,0.1123,0.0030,0.0073,0.9802,0.0000,0.0000,0.2200,0.0000,0.0000
109,-0.0263,0.1131,-0.0022,-0.12,0.01,0.00,0.013,-2.132,-0.805,-4.696,-0.0301,0.1146,0.0114,-0.0032,0.9949,0.0000,0.0000,0.2200,0.0000,0.0000
119,-0.0263,0.1135,-0.0033,-0.12,0.01,0.00,0.013,-2.164,1.923,-1.922,-0.0301,0.1146,0.0101,-0.0207,1.0217,0.0000,0.0000,0.2200,0.0000,0.0000
129,-0.0264,0.1137,-0.0029,-0.13,0.00,0.02,0.013,-4.826,1.943,-1.002,-0.0306,0.1169,0.0106,-0.0068,1.0138,0.0000,0.0000,0.2200,0.0000,0.0000
139,-0.0264,0.1139,-0.0032,-0.13,0.00,0.01,0.013,2.976,-6.279,3.153,-0.0306,0.1169,0.0070,-0.0034,0.9272,0.0000,0.0000,0.2200,0.0000,0.0000
149,-0.0264,0.1142,-0.0031,-0.14,0.01,-0.02,0.015,-1.754,-10.451,6.236,-0.0311,0.1187,0.0066,-0.0124,1.0533,0.0000,0.0000,0.2200,0.0000,0.0000
159,-0.0264,0.1144,-0.0043,-0.17,-0.00,-0.04,0.015,1.727,-2.251,3.207,-0.0311,0.1187,0.0207,-0.0187,0.9881,0.0000,0.0000,0.2200,0.0000,0.0000
169,-0.0264,0.1147,-0.0019,-0.16,0.02,-0.04,0.015,-8.027,7.485,-3.107,-0.0316,0.1210,-0.0018,-0.0047,1.0408,0.0000,0.0000,0.2200,0.0000,0.0000
179,-0.0264,0.1145,0.0019,-0.15,0.02,0.01,0.015,-0.042,-23.677,-7.784,-0.0316,0.1210,-0.0051,-0.0166,1.0184,0.0000,0.0000,0.2200,0.0000,0.0000
189,-0.0264,0.1147,-0.0018,-0.15,0.01,0.06,0.016,9.328,2.637,-11.144,-0.0321,0.1233,0.0152,-0.0188,1.0341,0.0000,0.0000,0.2200,0.0000,0.0000
199,-0.0264,0.1150,0.0033,-0.12,-0.01,0.06,0.016,0.312,2.788,-9.283,-0.0321,0.1228,0.0190,-0.0124,1.0547,0.0000,0.0000,0.2200,0.0000,0.0000
209,-0.0264,0.1152,0.0048,-0.14,0.06,0.01,0.016,-15.314,-10.705,-10.471,-0.0324,0.1241,0.0108,-0.0128,1.0869,0.0000,0.0000,0.2200,0.0000,0.0000
219,-0.0264,0.1150,0.0110,-0.13,0.23,-0.08,0.016,-16.016,-22.995,-10.542,-0.0326,0.1252,0.0105,-0.0100,1.1093,0.0000,0.0000,0.2200,0.0000,0.0000
229,-0.0269,0.1153,0.0134,-0.07,0.18,-0.19,0.016,-18.371,-27.840,-6.338,-0.0329,0.1264,0.0091,-0.0111,1.1164,0.0000,0.0000,0.2200,0.0000,0.0000
239,-0.0272,0.1154,0.0160,-0.14,0.22,-0.30,0.016,-21.107,-25.194,-8.471,-0.0332,0.1275,0.0136,-0.0138,1.1293,0.0000,0.0000,0.2200,0.0000,0.0000
249,-0.0276,0.1156,0.0208,-0.28,0.39,-0.40,0.016,-21.282,-29.146,-7.607,-0.0335,0.1287,0.0140,-0.0154,1.1568,0.0000,0.0000,0.2200,0.0000,0.0000
259,-0.0284,0.1162,0.0283,-0.46,0.66,-0.48,0.016,-19.693,-32.428,-9.961,-0.0338,0.1299,0.0110,-0.0212,1.1616,0.0000,0.0000,0.2200,0.0000,0.0000
269,-0.0296,0.1171,0.0384,-0.64,0.92,-0.55,0.016,-28.168,-34.930,-11.177,-0.0341,0.1311,0.0125,-0.0209,1.1648,0.0000,0.0000,0.2200,0.0000,0.0000
279,-0.0314,0.1184,0.0499,-0.86,1.18,-0.63,0.016,-30.133,-25.238,-11.935,-0.0344,0.1323,0.0125,-0.0247,1.1766,0.0000,0.0000,0.2200,0.0000,0.0000
289,-0.0338,0.1201,0.0622,-1.05,1.49,-0.71,0.008,-24.038,-24.992,-10.636,-0.0348,0.1335,0.0125,-0.0165,1.1776,0.0000,0.0000,0.2200,0.0000,0.0000
299,-0.0368,0.1223,0.0770,-1.28,1.83,-0.80,0.008,-11.115,-23.263,-12.056,-0.0372,0.1378,0.0154,-0.0072,1.1643,0.0000,0.0000,0.2200,0.0000,0.0000
310,-0.0404,0.1250,0.0930,-1.58,2.12,-0.91,0.008,-8.964,-13.694,-11.768,-0.0377,0.1391,0.0089,-0.0074,1.1390,0.0000,0.0000,0.2200,0.0000,0.0000
319,-0.0464,0.1310,0.0824,-1.85,2.38,-1.02,0.008,-0.460,-5.928,-11.571,0.3250,0.1030,0.0049,-0.0172,1.1452,0.0000,0.0000,0.2200,0.0000,0.0000
330,-0.0512,0.1349,0.0993,-2.01,2.64,-1.12,0.008,3.322,-0.935,-14.547,0.2913,0.0291,0.0025,-0.0148,1.1710,0.0000,0.0000,0.2200,0.0000,0.0000
339,-0.0565,0.1391,0.1164,-2.09,2.82,-1.23,0.008,13.963,6.722,-14.377,0.1844,0.1634,0.0042,-0.0181,1.1586,0.0000,0.0000,0.2200,0.0000,0.0000
349,0.2645,0.1095,0.1293,-2.05,2.06,-1.36,0.000,30.651,5.732,-12.429,0.1707,0.0511,0.0041,-0.0218,1.1531,0.0000,0.0000,0.2200,0.0000,0.0000
359,0.2278,0.0462,0.1448,-1.85,2.18,-1.50,0.000,44.150,7.571,-13.097,0.2429,-0.0815,-0.0000,-0.0213,1.1408,0.0000,0.0000,0.2200,0.0000,0.0000
369,0.1249,0.1710,0.1657,-2.07,2.42,-1.64,0.000,48.451,13.464,-13.531,0.2313,-0.0965,0.0007,-0.0201,1.1240,0.0000,0.0000,0.2200,0.0000,0.0000
380,0.1072,0.0716,0.1346,-1.57,2.39,-1.78,0.000,40.502,22.852,-14.797,0.2051,-0.0727,0.0116,-0.0198,1.1124,0.0000,0.0000,0.2200,0.0000,0.0000
389,0.1682,-0.0485,0.1471,-0.83,2.14,-1.92,0.013,33.011,23.082,-14.496,0.2633,-0.1053,0.0098,-0.0266,1.1115,0.0000,0.0000,0.2200,0.0000,0.0000
400,0.1515,-0.0606,0.1616,-0.31,2.06,-2.05,0.013,24.201,13.705,-13.283,0.2195,-0.0788,0.0071,-0.0273,1.1070,0.0000,0.0000,0.2200,0.0000,0.0000
408,0.1207,-0.0363,0.1794,0.06,1.97,-2.19,0.013,11.508,4.497,-12.927,0.2415,-0.1052,0.0054,-0.0294,1.0839,0.0000,0.0000,0.2200,0.0000,0.0000
