time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.8336,0.3022,0.0101,0.0002,0.0071,0.0039,-0.20,0.84,-0.39,0,4.112,-0.080,0.076,-0.276,0.018,-0.000,1.001,0.000,0.000,0.000
101,-0.8341,0.3019,0.0102,-0.0023,0.0055,0.0043,-0.20,0.84,-0.39,0,4.112,0.059,-0.112,-0.445,0.017,-0.003,1.004,0.000,0.000,0.000
202,-0.8339,0.3019,0.0102,-0.0010,0.0055,0.0046,-0.23,0.89,-0.39,0,4.112,-0.347,0.024,-0.060,0.017,-0.003,1.003,0.000,0.000,0.000
303,-0.8339,0.3020,0.0106,-0.0008,0.0058,0.0064,-0.16,0.84,-0.40,0,4.107,-0.136,0.096,0.150,0.014,-0.002,1.000,0.000,0.000,0.000
404,-0.8350,0.3027,0.0106,-0.0070,0.0093,0.0065,-0.18,0.83,-0.40,0,4.107,-0.201,0.055,-0.084,0.012,-0.003,1.000,0.000,0.000,0.000
506,-0.8339,0.3013,0.0107,-0.0001,0.0011,0.0069,-0.19,0.83,-0.40,0,4.101,-0.022,-0.123,-0.012,0.015,-0.002,1.001,0.000,0.000,0.000
608,-0.8337,0.3018,0.0108,0.0015,0.0037,0.0070,-0.16,0.83,-0.39,0,4.101,-0.130,0.194,-0.070,0.015,-0.002,1.001,0.000,0.000,0.000
710,-0.8337,0.3020,0.0109,0.0017,0.0049,0.0074,-0.20,0.82,-0.39,0,4.101,-0.451,0.054,-0.207,0.016,-0.003,1.002,0.000,0.000,0.000
811,-0.8337,0.3013,0.0110,0.0018,0.0009,0.0077,-0.16,0.83,-0.39,0,4.107,-0.190,0.068,-0.044,0.016,-0.003,1.000,0.000,0.000,0.000
912,-0.8334,0.3022,0.0106,0.0029,0.0059,0.0056,-0.18,0.82,-0.40,0,4.112,0.002,0.049,-0.061,0.013,-0.000,0.999,0.000,0.000,0.000
1013,-0.8337,0.3013,0.0107,0.0014,0.0009,0.0056,-0.19,0.82,-0.40,0,4.112,0.001,0.077,-0.360,0.012,-0.002,1.001,0.000,0.000,0.000
1114,-0.8337,0.3018,0.0107,0.0013,0.0033,0.0058,-0.17,0.81,-0.40,0,4.112,0.045,0.282,0.144,0.015,-0.002,1.003,0.000,0.000,0.000
1215,-0.8337,0.3020,0.0108,0.0013,0.0045,0.0058,-0.25,0.66,-0.40,0,4.112,-0.193,-0.368,-0.052,0.015,-0.004,1.002,0.000,0.000,0.000
1317,-0.8335,0.3016,0.0108,0.0026,0.0019,0.0060,-0.06,0.67,-0.39,0,4.107,0.092,0.106,0.195,0.014,-0.002,1.002,0.000,0.000,0.000
1418,-0.8300,0.3032,0.0101,0.0216,0.0111,0.0017,-0.05,0.66,-0.39,0,4.107,-0.087,-0.012,-0.080,0.016,-0.001,1.002,0.000,0.000,0.000
1519,-0.8301,0.2993,0.0102,0.0203,-0.0113,0.0021,-0.03,0.67,-0.39,0,4.101,-0.417,-0.000,0.014,0.017,0.002,1.002,0.000,0.000,0.000
1620,-0.8297,0.2988,0.0102,0.0215,-0.0130,0.0021,-0.03,0.67,-0.39,0,4.101,-0.094,-0.122,-0.218,0.016,-0.000,1.001,0.000,0.000,0.000
1721,-0.8301,0.2988,0.0102,0.0184,-0.0125,0.0026,-0.07,0.71,-0.39,0,4.101,-0.348,-0.040,0.003,0.015,-0.003,1.002,0.000,0.000,0.000
1822,-0.8295,0.2980,0.0102,0.0210,-0.0166,0.0026,-0.07,0.71,-0.39,0,4.101,-0.211,-0.225,-0.447,0.014,-0.002,1.003,0.000,0.000,0.000
1923,-0.8299,0.2990,0.0102,0.0179,-0.0101,0.0026,-0.13,0.73,-0.39,0,4.107,0.167,-0.264,0.013,0.016,-0.004,1.000,0.000,0.000,0.000
2024,-0.8301,0.2986,0.0102,0.0162,-0.0117,0.0028,-0.13,0.73,-0.39,0,4.112,-0.235,-0.141,0.116,0.015,-0.002,1.000,0.000,0.000,0.000
2125,-0.8301,0.2982,0.0103,0.0156,-0.0130,0.0029,-0.13,0.74,-0.39,0,4.112,-0.222,-0.179,-0.197,0.013,-0.001,1.000,0.000,0.000,0.000
2226,-0.8301,0.2996,0.0103,0.0150,-0.0044,0.0033,-0.06,0.71,-0.38,0,4.107,-0.031,0.139,-0.068,0.015,0.000,1.002,0.000,0.000,0.000
2327,-0.8303,0.2996,0.0104,0.0133,-0.0041,0.0036,-0.11,0.74,-0.39,0,4.107,-0.152,0.143,-0.228,0.015,-0.004,1.003,0.000,0.000,0.000
2428,-0.8295,0.2980,0.0098,0.0171,-0.0130,0.0007,-0.11,0.74,-0.39,0,4.107,0.064,-0.054,-0.244,0.015,-0.004,1.002,0.000,0.000,0.000
2529,-0.8299,0.2988,0.0098,0.0143,-0.0080,0.0010,-0.11,0.74,-0.39,0,4.101,-0.268,-0.191,-0.072,0.016,-0.003,1.002,0.000,0.000,0.000
2630,-0.8297,0.2988,0.0098,0.0144,-0.0080,0.0010,-0.07,0.73,-0.38,0,4.101,-0.119,-0.304,-0.031,0.013,-0.002,1.001,0.000,0.000,0.000
2731,-0.8296,0.2987,0.0098,0.0145,-0.0078,0.0010,-0.08,0.75,-0.38,0,4.101,-0.271,0.039,-0.037,0.013,-0.002,1.003,0.000,0.000,0.000
2833,-0.8294,0.2978,0.0098,0.0150,-0.0122,0.0012,-0.13,0.76,-0.39,0,4.107,-0.085,0.055,0.152,0.015,-0.001,1.004,0.000,0.000,0.000
2934,-0.8296,0.2978,0.0104,0.0131,-0.0117,0.0041,-0.14,0.78,-0.39,0,4.112,-0.184,-0.187,-0.149,0.013,-0.000,1.002,0.000,0.000,0.000
0,-0.8296,0.2987,0.0104,0.0126,-0.0063,0.0044,-0.14,0.79,-0.38,0,4.112,-0.050,0.152,0.021,0.014,-0.000,1.000,0.000,0.000,0.000
0,-0.8301,0.2989,0.0105,0.0096,-0.0047,0.0046,-0.14,0.79,-0.38,0,4.112,-0.346,-0.201,-0.095,0.014,-0.002,1.001,0.000,0.000,0.000
0,-0.8301,0.2987,0.0105,0.0090,-0.0056,0.0047,-0.07,0.63,-0.39,0,4.112,-0.193,0.031,0.147,0.012,-0.003,1.003,0.000,0.000,0.000
0,-0.8299,0.2987,0.0106,0.0096,-0.0052,0.0050,-0.08,0.67,-0.39,0,4.107,-0.249,0.066,-0.024,0.014,-0.003,1.003,0.000,0.000,0.000
0,-0.8262,0.2972,0.0108,0.0292,-0.0131,0.0061,-0.16,0.74,-0.39,0,4.107,-0.272,-0.139,-0.158,0.016,-0.001,1.000,0.000,0.000,0.000
1,-0.8268,0.2972,0.0109,0.0242,-0.0122,0.0065,-0.16,0.74,-0.39,0,4.101,-0.259,-0.069,-0.098,0.016,0.000,1.000,0.000,0.000,0.000
1,-0.8281,0.2989,0.0110,0.0161,-0.0021,0.0070,-0.17,0.75,-0.39,0,4.101,-0.231,0.156,0.161,0.013,-0.002,1.001,0.000,0.000,0.000
1,-0.8280,0.2989,0.0111,0.0162,-0.0020,0.0072,-0.07,0.75,-0.37,0,4.101,0.115,0.037,-0.219,0.012,-0.001,1.000,0.000,0.000,0.000
1,-0.8282,0.2989,0.0112,0.0140,-0.0019,0.0076,-0.17,0.78,-0.39,0,4.107,-0.228,0.155,-0.072,0.015,-0.001,0.999,0.000,0.000,0.000
1,-0.8281,0.2967,0.0108,0.0144,-0.0141,0.0052,-0.15,0.75,-0.39,0,4.112,-0.064,0.055,-0.132,0.015,-0.001,1.001,0.000,0.000,0.000
1,-0.8287,0.2989,0.0109,0.0103,-0.0012,0.0055,-0.24,0.84,-0.39,0,4.112,-0.348,-0.088,0.029,0.013,0.000,1.003,0.000,0.000,0.000
1,-0.8278,0.2985,0.0109,0.0148,-0.0033,0.0055,-0.24,0.86,-0.39,0,4.112,-0.145,-0.006,-0.117,0.014,-0.000,1.003,0.000,0.000,0.000
1,-0.8298,0.3005,0.0110,0.0032,0.0078,0.0058,-0.23,0.85,-0.39,0,4.112,-0.205,0.210,-0.083,0.015,-0.001,1.003,0.000,0.000,0.000
2,-0.8302,0.3005,0.0111,0.0003,0.0077,0.0058,-0.24,0.85,-0.39,0,4.107,-0.154,-0.002,-0.080,0.013,-0.003,1.003,0.000,0.000,0.000
2,-0.8300,0.3003,0.0098,0.0015,0.0064,-0.0009,-0.24,0.84,-0.39,0,4.107,-0.119,0.028,-0.135,0.013,-0.005,1.002,0.000,0.000,0.000
2,-0.8300,0.3005,0.0098,0.0015,0.0076,-0.0008,-0.24,0.84,-0.39,0,4.101,-0.100,0.164,-0.176,0.015,-0.002,1.001,0.000,0.000,0.000
2,-0.8300,0.3005,0.0098,0.0013,0.0080,-0.0005,-0.25,0.83,-0.40,0,4.101,-0.269,0.034,0.095,0.012,-0.003,1.002,0.000,0.000,0.000
2,-0.8300,0.3006,0.0098,0.0013,0.0083,-0.0002,-0.30,1.07,-0.39,0,4.101,-0.307,-0.057,-0.120,0.012,-0.000,1.000,0.000,0.000,0.000
2,-0.8297,0.3008,0.0098,0.0026,0.0094,0.0001,-0.24,1.09,-0.38,0,4.101,-0.007,-0.092,-0.116,0.014,-0.000,1.001,0.000,0.000,0.000
2,-0.8352,0.3023,0.0090,-0.0281,0.0171,-0.0038,-0.35,1.01,-0.39,0,4.107,-0.172,0.045,0.339,0.015,0.001,1.002,0.000,0.000,0.000
2,-0.8359,0.3009,0.0089,-0.0307,0.0084,-0.0035,-0.28,1.05,-0.39,0,4.112,-0.225,0.127,-0.053,0.018,-0.000,1.002,0.000,0.000,0.000
2,-0.8344,0.3034,0.0090,-0.0214,0.0221,-0.0030,-0.25,0.98,-0.39,0,4.112,-0.109,0.082,-0.037,0.015,-0.001,1.002,0.000,0.000,0.000
3,-0.8355,0.3023,0.0090,-0.0270,0.0148,-0.0027,-0.23,0.95,-0.39,0,4.112,0.275,-0.126,-0.151,0.015,0.002,1.003,0.000,0.000,0.000
3,-0.8344,0.3016,0.0090,-0.0197,0.0106,-0.0022,-0.24,0.99,-0.39,0,4.107,-0.054,0.158,-0.003,0.015,-0.001,1.002,0.000,0.000,0.000
3,-0.8339,0.3013,0.0090,-0.0164,0.0091,-0.0019,-0.24,0.98,-0.39,0,4.107,-0.255,-0.100,-0.011,0.015,-0.002,1.000,0.000,0.000,0.000
3,-0.8350,0.3015,0.0090,-0.0217,0.0102,-0.0019,-0.07,0.97,-0.39,0,4.107,0.001,-0.038,-0.432,0.016,-0.002,1.000,0.000,0.000,0.000
3,-0.8350,0.3018,0.0090,-0.0204,0.0112,-0.0016,-0.07,0.91,-0.39,0,4.101,-0.153,0.041,0.002,0.015,-0.005,1.001,0.000,0.000,0.000
3,-0.8350,0.2978,0.0090,-0.0196,-0.0106,-0.0010,-0.08,1.03,-0.39,0,4.101,0.047,-0.103,0.049,0.014,-0.003,1.002,0.000,0.000,0.000
3,-0.8339,0.2978,0.0091,-0.0127,-0.0098,-0.0005,-0.08,0.95,-0.39,0,4.101,-0.353,-0.076,0.289,0.015,-0.002,1.002,0.000,0.000,0.000
