time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,motor_m1,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,0.0233,0.2311,0.0088,-0.0012,-0.0043,0.0055,-0.85,0.68,-45.85,0,0.000,-0.007,-0.064,0.003,0.015,-0.015,1.000,0.000,0.000,0.000
100,0.0236,0.2314,0.0081,0.0006,-0.0027,0.0015,-0.88,0.67,-45.80,0,0.000,0.169,-0.044,-0.473,0.013,-0.016,0.999,0.000,0.000,0.000
202,0.0220,0.2315,0.0081,-0.0085,-0.0017,0.0014,-0.88,0.62,-45.76,0,0.000,0.117,-0.069,0.009,0.010,-0.016,1.000,0.000,0.000,0.000
303,0.0226,0.2318,0.0081,-0.0048,-0.0002,0.0015,-0.88,0.61,-45.72,0,0.000,-0.350,0.034,0.190,0.012,-0.016,1.001,0.000,0.000,0.000
403,0.0233,0.2311,0.0081,-0.0004,-0.0044,0.0016,-0.93,0.65,-45.67,0,0.000,0.019,-0.003,0.086,0.014,-0.014,0.999,0.000,0.000,0.000
504,0.0236,0.2308,0.0081,0.0014,-0.0059,0.0016,-0.88,0.65,-45.63,0,0.000,-0.087,0.035,0.107,0.013,-0.013,1.000,0.000,0.000,0.000
605,0.0239,0.2322,0.0081,0.0033,0.0023,0.0013,-0.90,0.65,-45.58,0,0.000,-0.149,0.040,-0.187,0.014,-0.015,1.000,0.000,0.000,0.000
706,0.0229,0.2315,0.0081,-0.0024,-0.0019,0.0013,-0.85,0.65,-45.54,0,0.000,-0.145,-0.010,0.235,0.012,-0.017,1.001,0.000,0.000,0.000
808,0.0231,0.2318,0.0081,-0.0008,-0.0002,0.0014,-0.88,0.66,-45.49,0,0.000,-0.055,0.232,-0.121,0.012,-0.016,1.000,0.000,0.000,0.000
908,0.0224,0.2311,0.0082,-0.0048,-0.0042,0.0015,-0.89,0.62,-45.45,0,0.000,0.168,-0.123,-0.093,0.014,-0.015,1.000,0.000,0.000,0.000
1010,0.0224,0.2311,0.0082,-0.0045,-0.0043,0.0014,-0.92,0.64,-45.41,0,0.000,-0.039,-0.213,-0.296,0.014,-0.014,1.004,0.000,0.000,0.000
1111,0.0227,0.2317,0.0081,-0.0024,-0.0009,0.0010,-0.84,0.65,-45.36,0,0.000,-0.072,-0.036,0.135,0.011,-0.016,1.000,0.000,0.000,0.000
1213,0.0234,0.2312,0.0081,0.0020,-0.0034,0.0011,-0.87,0.69,-45.32,0,0.000,0.027,0.138,-0.112,0.013,-0.013,0.999,0.000,0.000,0.000
1313,0.0236,0.2320,0.0081,0.0027,0.0007,0.0012,-0.86,0.66,-45.28,0,0.000,0.129,0.129,0.009,0.013,-0.013,1.000,0.000,0.000,0.000
1414,0.0221,0.2320,0.0082,-0.0053,0.0007,0.0013,-1.07,0.60,-45.23,0,0.000,-0.086,0.066,-0.176,0.013,-0.015,1.001,0.000,0.000,0.000
1515,0.0221,0.2314,0.0082,-0.0049,-0.0026,0.0015,-0.97,0.62,-45.19,0,0.000,0.032,-0.200,0.136,0.012,-0.014,1.001,0.000,0.000,0.000
1616,0.0265,0.2338,0.0077,0.0202,0.0108,-0.0008,-1.08,0.65,-45.15,0,0.000,0.042,0.134,0.055,0.012,-0.014,1.002,0.000,0.000,0.000
1717,0.0248,0.2326,0.0078,0.0098,0.0040,-0.0002,-1.04,0.64,-45.10,0,0.000,0.306,0.018,-0.188,0.013,-0.015,1.001,0.000,0.000,0.000
1818,0.0261,0.2347,0.0078,0.0168,0.0157,-0.0006,-1.01,0.62,-45.06,0,0.000,0.061,0.053,-0.144,0.014,-0.016,1.000,0.000,0.000,0.000
1919,0.0258,0.2342,0.0078,0.0147,0.0119,-0.0003,-0.98,0.58,-45.01,0,0.000,-0.331,-0.026,-0.098,0.015,-0.014,1.000,0.000,0.000,0.000
