time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,range_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.1402,0.2766,0.0093,-0.0076,-0.0176,0.0084,-1.46,0.27,-38.03,0,0.008,-0.113,0.061,0.205,0.004,-0.026,1.001,0.000,0.000,0.000
0,-0.1402,0.2756,0.0094,-0.0074,-0.0224,0.0084,-1.44,0.26,-37.99,0,0.008,-0.146,-0.294,-0.016,0.004,-0.027,1.000,0.000,0.000,0.000
0,-0.1399,0.2774,0.0096,-0.0052,-0.0117,0.0092,-1.42,0.24,-37.96,0,0.008,-0.328,-0.198,0.039,0.003,-0.027,1.001,0.000,0.000,0.000
0,-0.1402,0.2776,0.0097,-0.0070,-0.0097,0.0094,-1.48,0.27,-37.92,0,0.008,-0.125,-0.337,0.210,0.005,-0.027,1.000,0.000,0.000,0.000
0,-0.1404,0.2770,0.0091,-0.0081,-0.0127,0.0059,-1.48,0.27,-37.88,0,0.008,0.152,-0.101,0.035,0.004,-0.027,1.001,0.000,0.000,0.000
0,-0.1405,0.2763,0.0091,-0.0080,-0.0161,0.0060,-1.46,0.28,-37.84,0,0.010,-0.137,-0.373,0.067,0.003,-0.027,1.002,0.000,0.000,0.000
0,-0.1402,0.2777,0.0092,-0.0063,-0.0079,0.0062,-1.40,0.28,-37.80,0,0.010,-0.127,0.229,0.033,0.003,-0.026,1.003,0.000,0.000,0.000
0,-0.1403,0.2776,0.0093,-0.0065,-0.0080,0.0062,-1.40,0.28,-37.77,0,0.010,-0.289,-0.236,0.086,0.003,-0.026,1.002,0.000,0.000,0.000
1,-0.1406,0.2772,0.0093,-0.0078,-0.0094,0.0064,-1.50,0.28,-37.73,0,0.010,0.010,-0.066,0.114,0.004,-0.028,1.003,0.000,0.000,0.000
1,-0.1415,0.2760,0.0094,-0.0125,-0.0154,0.0063,-1.49,0.28,-37.69,0,0.006,-0.131,0.040,0.182,0.004,-0.029,1.003,0.000,0.000,0.000
1,-0.1416,0.2759,0.0097,-0.0128,-0.0155,0.0080,-1.42,0.30,-37.65,0,0.006,0.139,-0.096,-0.014,0.005,-0.028,1.002,0.000,0.000,0.000
1,-0.1403,0.2775,0.0099,-0.0055,-0.0060,0.0085,-1.51,0.29,-37.62,0,0.006,-0.024,-0.127,0.180,0.004,-0.029,1.003,0.000,0.000,0.000
1,-0.1405,0.2774,0.0099,-0.0060,-0.0065,0.0088,-1.50,0.29,-37.58,0,0.006,0.056,-0.347,-0.002,0.001,-0.029,1.003,0.000,0.000,0.000
1,-0.1419,0.2762,0.0100,-0.0136,-0.0123,0.0090,-1.47,0.25,-37.54,0,0.006,-0.110,0.049,0.031,0.003,-0.029,1.001,0.000,0.000,0.000
1,-0.1405,0.2777,0.0085,-0.0056,-0.0041,0.0011,-1.51,0.29,-37.50,0,0.006,-0.054,0.075,0.077,0.001,-0.029,1.001,0.000,0.000,0.000
2,-0.1407,0.2775,0.0085,-0.0063,-0.0049,0.0014,-1.52,0.27,-37.47,0,0.007,-0.118,-0.359,-0.012,0.002,-0.025,1.002,0.000,0.000,0.000
2,-0.1405,0.2762,0.0085,-0.0052,-0.0115,0.0016,-1.52,0.28,-37.43,0,0.007,-0.049,-0.234,-0.106,0.004,-0.024,1.003,0.000,0.000,0.000
2,-0.1406,0.2775,0.0085,-0.0061,-0.0042,0.0020,-1.52,0.28,-37.39,0,0.007,-0.004,-0.212,0.313,0.003,-0.024,1.001,0.000,0.000,0.000
2,-0.1402,0.2774,0.0086,-0.0035,-0.0045,0.0023,-1.51,0.28,-37.36,0,0.007,-0.348,-0.356,-0.028,0.003,-0.026,0.999,0.000,0.000,0.000
2,-0.1403,0.2776,0.0086,-0.0047,-0.0035,0.0025,-1.51,0.28,-37.32,0,0.009,-0.060,-0.111,-0.383,0.003,-0.026,1.004,0.000,0.000,0.000
2,-0.1404,0.2775,0.0079,-0.0050,-0.0034,-0.0010,-1.53,0.28,-37.28,0,0.009,-0.226,-0.188,-0.014,0.004,-0.026,1.004,0.000,0.000,0.000
2,-0.1405,0.2773,0.0079,-0.0055,-0.0038,-0.0007,-1.51,0.28,-37.25,0,0.009,-0.073,-0.252,0.023,0.005,-0.026,1.002,0.000,0.000,0.000
2,-0.1406,0.2773,0.0079,-0.0055,-0.0035,-0.0003,-1.46,0.25,-37.21,0,0.009,0.022,-0.127,-0.208,0.004,-0.025,1.002,0.000,0.000,0.000
2,-0.1404,0.2775,0.0079,-0.0044,-0.0020,-0.0004,-1.59,0.28,-37.18,0,0.009,-0.168,-0.172,-0.087,0.003,-0.026,1.002,0.000,0.000,0.000
3,-0.1407,0.2771,0.0083,-0.0059,-0.0038,0.0022,-1.54,0.28,-37.14,0,0.009,0.050,-0.185,-0.139,0.005,-0.026,1.004,0.000,0.000,0.000
3,-0.1409,0.2757,0.0084,-0.0064,-0.0109,0.0027,-1.53,0.29,-37.10,0,0.011,-0.210,-0.153,-0.191,0.004,-0.026,1.003,0.000,0.000,0.000
3,-0.1396,0.2787,0.0084,0.0008,0.0052,0.0032,-1.51,0.29,-37.07,0,0.011,0.186,-0.061,-0.126,0.002,-0.028,1.002,0.000,0.000,0.000
3,-0.1401,0.2776,0.0085,-0.0019,-0.0007,0.0036,-1.50,0.29,-37.03,0,0.011,0.002,-0.530,-0.249,0.004,-0.029,1.003,0.000,0.000,0.000
3,-0.1404,0.2775,0.0085,-0.0036,-0.0007,0.0038,-1.53,0.29,-37.00,0,0.011,0.045,-0.312,0.062,0.005,-0.030,1.002,0.000,0.000,0.000
3,-0.1408,0.2770,0.0086,-0.0058,-0.0035,0.0098,-1.51,0.30,-36.96,0,0.010,0.010,-0.141,-0.257,0.002,-0.029,1.003,0.000,0.000,0.000
3,-0.1409,0.2770,0.0097,-0.0058,-0.0034,0.0102,-1.53,0.29,-36.93,0,0.010,-0.175,-0.131,-0.083,0.002,-0.027,1.002,0.000,0.000,0.000
3,-0.1404,0.2776,0.0098,-0.0033,-0.0000,0.0105,-1.53,0.28,-36.89,0,0.010,-0.130,-0.153,0.162,0.004,-0.027,1.003,0.000,0.000,0.000
3,-0.1409,0.2773,0.0099,-0.0060,-0.0013,0.0108,-1.34,0.21,-36.86,0,0.010,-0.036,-0.289,-0.173,0.004,-0.028,1.003,0.000,0.000,0.000
3,-0.1404,0.2776,0.0101,-0.0033,-0.0001,0.0111,-1.31,0.23,-36.82,0,0.010,0.280,-0.098,-0.093,0.005,-0.029,1.003,0.000,0.000,0.000
3,-0.1402,0.2774,0.0101,-0.0025,-0.0009,0.0112,-1.32,0.24,-36.79,0,0.010,0.183,-0.084,0.150,0.004,-0.027,1.002,0.000,0.000,0.000
3,-0.1418,0.2726,0.0103,-0.0105,-0.0257,0.0115,-1.28,0.23,-36.75,0,0.009,-0.129,-0.262,0.194,0.005,-0.026,1.002,0.000,0.000,0.000
3,-0.1426,0.2718,0.0104,-0.0148,-0.0286,0.0116,-1.25,0.19,-36.71,0,0.009,-0.488,-0.304,0.202,0.004,-0.028,1.004,0.000,0.000,0.000
4,-0.1428,0.2720,0.0105,-0.0152,-0.0266,0.0119,-1.27,0.22,-36.67,0,0.009,-0.089,0.051,-0.010,0.004,-0.030,1.003,0.000,0.000,0.000
4,-0.1433,0.2710,0.0106,-0.0172,-0.0310,0.0121,-1.36,0.25,-36.64,0,0.009,-0.012,-0.135,-0.127,0.004,-0.028,1.002,0.000,0.000,0.000
4,-0.1431,0.2694,0.0106,-0.0153,-0.0380,0.0121,-1.38,0.25,-36.60,0,0.009,-0.151,-0.058,0.109,0.003,-0.028,1.002,0.000,0.000,0.000
4,-0.1436,0.2698,0.0100,-0.0174,-0.0340,0.0088,-1.38,0.25,-36.56,0,0.009,-0.048,0.033,0.069,0.004,-0.028,1.001,0.000,0.000,0.000
4,-0.1429,0.2716,0.0102,-0.0130,-0.0236,0.0096,-1.41,0.26,-36.52,0,0.009,0.026,-0.309,-0.182,-0.000,-0.028,1.003,0.000,0.000,0.000
4,-0.1427,0.2718,0.0103,-0.0119,-0.0216,0.0101,-1.39,0.24,-36.49,0,0.009,-0.046,-0.301,-0.275,0.001,-0.026,1.002,0.000,0.000,0.000
4,-0.1430,0.2715,0.0104,-0.0130,-0.0226,0.0103,-1.42,0.26,-36.46,0,0.009,0.003,-0.183,-0.330,0.004,-0.028,1.000,0.000,0.000,0.000
4,-0.1429,0.2720,0.0100,-0.0121,-0.0191,0.0076,-1.44,0.26,-36.42,0,0.009,-0.111,-0.067,0.047,0.004,-0.028,1.003,0.000,0.000,0.000
4,-0.1427,0.2711,0.0100,-0.0110,-0.0231,0.0077,-1.45,0.27,-36.39,0,0.009,0.087,-0.160,-0.067,0.002,-0.027,1.004,0.000,0.000,0.000
4,-0.1427,0.2719,0.0101,-0.0105,-0.0178,0.0081,-1.36,0.24,-36.35,0,0.009,-0.027,-0.067,-0.111,0.003,-0.024,1.002,0.000,0.000,0.000
4,-0.1425,0.2721,0.0102,-0.0097,-0.0158,0.0085,-1.37,0.27,-36.32,0,0.009,0.113,-0.123,-0.113,0.004,-0.027,1.001,0.000,0.000,0.000
4,-0.1427,0.2723,0.0103,-0.0104,-0.0143,0.0086,-1.46,0.28,-36.28,0,0.009,0.129,-0.233,-0.116,0.004,-0.026,1.002,0.000,0.000,0.000
4,-0.1433,0.2700,0.0104,-0.0131,-0.0257,0.0086,-1.47,0.28,-36.25,0,0.012,0.010,-0.118,0.081,0.004,-0.026,1.000,0.000,0.000,0.000
4,-0.1438,0.2704,0.0098,-0.0155,-0.0225,0.0060,-1.45,0.28,-36.21,0,0.012,-0.021,-0.416,-0.403,0.004,-0.027,1.002,0.000,0.000,0.000
4,-0.1430,0.2719,0.0100,-0.0103,-0.0132,0.0066,-1.49,0.28,-36.18,0,0.012,-0.161,-0.068,0.011,0.002,-0.027,1.001,0.000,0.000,0.000
