time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,0.0139,0.0101,0.0023,-0.43,0.91,-38.54,0.010,-0.113,0.054,0.060
0,0.0130,0.0129,0.0023,-0.44,0.93,-38.51,0.010,-0.018,-0.114,0.124
0,0.0066,0.0068,0.0027,-0.36,0.94,-38.47,0.010,0.108,-0.264,-0.264
0,0.0067,0.0109,0.0028,-0.39,0.96,-38.43,0.010,0.014,0.152,0.138
0,0.0040,0.0094,0.0030,-0.36,0.96,-38.40,0.010,-0.076,0.090,-0.171
0,0.0042,0.0132,0.0036,-0.39,0.98,-38.36,0.010,0.076,0.209,0.202
0,0.0043,0.0051,0.0038,-0.34,0.94,-38.32,0.010,-0.262,-0.192,0.385
0,0.0054,0.0082,0.0036,-0.36,0.95,-38.28,0.010,-0.091,0.110,0.250
0,0.0032,0.0052,0.0036,-0.33,0.95,-38.24,0.009,-0.012,-0.100,0.076
0,0.0080,0.0130,0.0036,-0.40,0.95,-38.20,0.009,-0.222,-0.018,-0.261
1,0.0107,0.0104,0.0013,-0.40,0.92,-38.16,0.009,0.243,-0.241,-0.280
1,0.0035,-0.0049,0.0015,-0.26,0.90,-38.13,0.009,-0.081,-0.013,-0.135
1,0.0089,0.0111,0.0017,-0.39,0.94,-38.09,0.009,-0.067,0.270,0.029
1,0.0063,0.0079,0.0018,-0.36,0.95,-38.06,0.012,0.107,0.053,-0.092
1,0.0033,0.0098,0.0018,-0.35,0.97,-38.02,0.012,0.018,-0.015,-0.036
1,0.0072,0.0108,0.0066,-0.38,0.95,-37.98,0.012,0.204,0.240,0.019
1,0.0087,0.0031,0.0068,-0.34,0.90,-37.95,0.012,0.037,0.056,0.094
1,0.0089,0.0031,0.0070,-0.34,0.90,-37.91,0.012,0.167,-0.040,-0.206
1,0.0078,0.0096,0.0071,-0.37,0.94,-37.87,0.012,0.259,0.183,0.047
1,-0.0000,0.0075,0.0073,-0.32,0.98,-37.84,0.012,0.196,-0.024,-0.172
1,0.0032,-0.0060,0.0095,-0.25,0.89,-37.80,0.012,0.050,0.074,-0.052
1,-0.0097,-0.0302,0.0091,-0.03,0.85,-37.76,0.012,-0.215,-0.046,0.086
1,-0.0105,-0.0308,0.0089,-0.03,0.85,-37.73,0.012,-0.044,0.192,-0.272
1,-0.0171,-0.0314,0.0086,0.00,0.89,-37.69,0.011,-0.136,-0.022,0.140
1,-0.0136,-0.0307,0.0087,-0.02,0.88,-37.65,0.011,-0.152,-0.059,0.016
1,-0.0135,-0.0312,0.0070,-0.03,0.87,-37.62,0.011,0.018,-0.182,0.084
2,0.0005,-0.0245,0.0076,-0.14,0.82,-37.58,0.011,-0.334,-0.160,0.215
2,-0.0118,-0.0275,0.0074,-0.06,0.88,-37.54,0.011,-0.021,-0.185,-0.225
2,-0.0119,-0.0272,0.0074,-0.06,0.88,-37.50,0.010,0.091,0.070,0.518
2,-0.0045,-0.0174,0.0081,-0.16,0.89,-37.47,0.010,-0.076,0.185,0.120
2,-0.0035,-0.0156,0.0033,-0.18,0.89,-37.43,0.010,0.054,-0.042,0.001
2,-0.0098,-0.0233,0.0032,-0.10,0.89,-37.39,0.010,0.073,-0.012,-0.064
2,-0.0012,-0.0075,0.0037,-0.25,0.91,-37.36,0.010,-0.129,0.026,0.096
2,-0.0093,-0.0218,0.0036,-0.12,0.89,-37.32,0.008,-0.027,0.244,0.160
2,-0.0032,-0.0251,0.0036,-0.13,0.84,-37.28,0.008,0.047,-0.153,0.045
2,-0.0036,-0.0115,-0.0036,-0.21,0.91,-37.24,0.008,-0.255,0.180,0.369
2,0.0020,-0.0182,-0.0036,-0.20,0.84,-37.21,0.008,-0.255,0.134,-0.111
2,-0.0105,-0.0199,-0.0036,-0.13,0.91,-37.17,0.008,0.042,0.211,0.139
2,-0.0087,-0.0154,-0.0034,-0.17,0.92,-37.13,0.010,0.016,0.026,-0.078
2,-0.0086,-0.0157,-0.0033,-0.18,0.92,-37.09,0.010,0.186,0.249,0.064
2,-0.0148,-0.0239,-0.0033,-0.10,0.92,-37.06,0.010,-0.238,0.299,0.127
2,-0.0258,-0.0323,-0.0037,0.00,0.95,-37.02,0.010,-0.255,0.434,0.253
2,-0.0242,-0.0264,-0.0034,-0.04,0.96,-36.98,0.010,0.084,0.188,-0.142
2,-0.0234,-0.0276,-0.0037,-0.04,0.95,-36.94,0.010,-0.098,-0.273,0.029
2,-0.0140,-0.0176,-0.0032,-0.16,0.94,-36.91,0.010,-0.053,0.127,-0.106
3,-0.0149,-0.0215,-0.0029,-0.13,0.92,-36.87,0.010,0.038,0.251,0.103
3,-0.0214,-0.0285,-0.0032,-0.06,0.93,-36.83,0.010,0.246,-0.108,0.102
3,-0.0121,-0.0144,-0.0024,-0.20,0.94,-36.80,0.010,0.065,0.040,-0.189
3,-0.0140,-0.0175,-0.0024,-0.17,0.94,-36.76,0.011,0.038,0.255,-0.260
3,-0.0154,-0.0255,-0.0026,-0.11,0.91,-36.73,0.011,-0.211,-0.085,0.194
3,-0.0112,-0.0199,0.0004,-0.17,0.91,-36.69,0.011,0.155,-0.090,-0.091
3,-0.0143,-0.0164,0.0005,-0.18,0.94,-36.66,0.011,-0.190,-0.109,-0.320
3,-0.0094,-0.0198,0.0006,-0.18,0.90,-36.62,0.011,0.064,0.155,-0.062
3,-0.0128,-0.0145,0.0007,-0.20,0.95,-36.58,0.012,-0.215,-0.057,0.198
3,-0.0072,-0.0147,0.0010,-0.23,0.91,-36.55,0.012,-0.103,0.232,0.114
3,-0.0106,-0.0113,0.0043,-0.24,0.94,-36.51,0.012,-0.226,-0.009,-0.009
3,-0.0154,-0.0237,0.0040,-0.14,0.92,-36.48,0.012,-0.190,-0.002,0.032
3,-0.0187,-0.0281,0.0037,-0.09,0.92,-36.44,0.012,0.039,0.160,0.037
3,-0.0203,-0.0306,0.0036,-0.07,0.91,-36.41,0.012,-0.121,0.225,0.167
3,-0.0153,-0.0279,0.0038,-0.12,0.90,-36.37,0.010,-0.050,0.019,0.099
3,-0.0213,-0.0343,0.0003,-0.05,0.90,-36.34,0.010,0.177,0.048,-0.241
3,-0.0093,-0.0198,0.0014,-0.21,0.89,-36.30,0.010,0.035,-0.237,-0.042
3,-0.0128,-0.0189,0.0013,-0.20,0.92,-36.26,0.010,0.104,-0.064,-0.084
3,-0.0123,-0.0221,0.0011,-0.18,0.90,-36.23,0.010,0.079,-0.130,-0.319
3,-0.0106,-0.0217,0.0011,-0.19,0.90,-36.20,0.010,-0.200,-0.077,-0.232
3,-0.0130,-0.0155,-0.0007,-0.22,0.94,-36.16,0.010,-0.097,-0.089,0.059
3,-0.0151,-0.0208,-0.0007,-0.17,0.93,-36.13,0.010,0.199,-0.118,-0.531
3,-0.0077,-0.0108,-0.0001,-0.27,0.93,-36.10,0.010,-0.085,0.057,0.008
3,-0.0094,-0.0174,-0.0002,-0.23,0.91,-36.06,0.010,-0.038,-0.039,0.035
3,-0.0114,-0.0163,-0.0004,-0.23,0.93,-36.03,0.007,0.168,0.052,0.083
3,-0.0174,-0.0230,-0.0087,-0.15,0.94,-35.99,0.007,0.112,0.093,0.314
3,-0.0149,-0.0218,-0.0086,-0.18,0.93,-35.96,0.007,-0.113,0.069,0.057
3,-0.0022,-0.0099,-0.0079,-0.31,0.90,-35.92,0.007,-0.164,0.002,-0.113
3,-0.0021,-0.0099,-0.0081,-0.31,0.90,-35.88,0.010,-0.123,0.006,0.157
3,-0.0017,-0.0110,-0.0081,-0.31,0.89,-35.85,0.010,-0.111,-0.030,-0.173
4,-0.0055,-0.0119,-0.0056,-0.29,0.91,-35.81,0.010,0.061,-0.043,-0.059
4,-0.0028,-0.0144,-0.0055,-0.28,0.88,-35.78,0.010,0.131,0.162,0.029
4,0.0002,-0.0097,-0.0054,-0.33,0.89,-35.74,0.010,-0.096,-0.195,-0.016
4,0.0003,-0.0134,-0.0053,-0.31,0.87,-35.71,0.007,-0.045,0.268,-0.139
4,-0.0066,-0.0149,-0.0052,-0.26,0.91,-35.67,0.007,-0.155,-0.149,-0.258
4,-0.0013,-0.0116,-0.0096,-0.31,0.89,-35.64,0.007,0.013,-0.064,-0.060
4,-0.0011,-0.0116,-0.0095,-0.31,0.89,-35.60,0.007,-0.167,0.078,-0.040
4,-0.0037,-0.0089,-0.0094,-0.31,0.92,-35.57,0.007,0.196,0.042,-0.084
4,-0.0005,-0.0047,-0.0093,-0.36,0.92,-35.53,0.009,-0.032,0.341,0.084
4,-0.0026,-0.0075,-0.0094,-0.33,0.92,-35.50,0.009,0.103,0.041,-0.111
4,-0.0061,-0.0124,-0.0067,-0.28,0.92,-35.47,0.009,0.269,0.109,-0.136
4,-0.0082,-0.0157,-0.0070,-0.25,0.92,-35.43,0.009,0.225,-0.064,-0.150
4,-0.0080,-0.0158,-0.0067,-0.25,0.92,-35.40,0.009,0.121,-0.163,-0.085
4,0.0013,-0.0068,-0.0060,-0.35,0.90,-35.36,0.012,-0.082,0.092,0.305
