time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.2590,0.4071,0.0114,0.0095,-0.0276,0.0161,-0.28,0.73,1.01,0,3.933,0.295,-0.089,-0.322,0.015,-0.007,0.000,0.000,0.000,0.000
0,-0.2584,0.4056,0.0093,0.0113,-0.0307,0.0044,-0.37,0.75,1.00,0,3.938,-0.036,-0.159,0.148,0.015,-0.006,0.000,0.000,0.000,0.000
0,-0.2584,0.4056,0.0099,0.0100,-0.0255,0.0081,-0.35,0.74,1.01,0,3.933,-0.392,-0.150,0.290,0.013,-0.009,0.000,0.000,0.000,0.000
0,-0.2603,0.4076,0.0095,-0.0016,-0.0100,0.0057,-0.57,0.82,1.01,0,3.938,-0.218,-0.207,-0.136,0.013,-0.007,0.000,0.000,0.000,0.000
0,-0.2588,0.4070,0.0096,0.0068,-0.0106,0.0073,-0.45,0.75,1.00,0,3.933,0.058,-0.006,0.106,0.016,-0.003,0.000,0.000,0.000,0.000
0,-0.2594,0.4069,0.0097,0.0032,-0.0083,0.0081,-0.51,0.75,1.00,0,3.938,-0.354,-0.088,-0.031,0.016,-0.007,0.000,0.000,0.000,0.000
0,-0.2601,0.4078,0.0107,-0.0007,-0.0016,0.0124,-0.50,0.79,1.00,0,3.927,-0.125,-0.186,-0.340,0.015,-0.009,0.000,0.000,0.000,0.000
0,-0.2583,0.4041,0.0095,0.0075,-0.0178,0.0056,-0.37,0.75,0.99,0,3.938,-0.046,-0.187,-0.137,0.016,-0.008,0.000,0.000,0.000,0.000
0,-0.2576,0.4046,0.0101,0.0091,-0.0107,0.0091,-0.36,0.73,0.98,0,3.933,-0.088,0.100,0.261,0.016,-0.007,0.000,0.000,0.000,0.000
0,-0.2581,0.4046,0.0101,0.0044,-0.0073,0.0087,-0.39,0.74,0.98,0,3.938,0.019,-0.269,-0.289,0.016,-0.006,0.000,0.000,0.000,0.000
0,-0.2579,0.4046,0.0095,0.0042,-0.0037,0.0057,-0.49,0.77,0.97,0,3.933,-0.175,0.195,0.041,0.015,-0.004,0.000,0.000,0.000,0.000
0,-0.2578,0.4048,0.0082,0.0029,-0.0000,-0.0004,-0.42,0.76,0.97,0,3.938,0.147,0.154,0.176,0.015,-0.005,0.000,0.000,0.000,0.000
0,-0.2580,0.4038,0.0086,0.0012,-0.0037,0.0040,-0.47,0.79,0.96,0,3.927,-0.124,0.054,0.002,0.015,-0.006,0.000,0.000,0.000,0.000
0,-0.2581,0.4122,0.0089,0.0007,0.0414,0.0062,-0.76,0.77,0.96,0,3.938,-0.101,0.065,0.002,0.015,-0.006,0.000,0.000,0.000,0.000
0,-0.2583,0.4119,0.0103,-0.0003,0.0336,0.0133,-0.72,0.80,0.95,0,3.933,-0.088,0.065,-0.015,0.017,-0.005,0.000,0.000,0.000,0.000
0,-0.2593,0.4035,0.0120,-0.0058,-0.0126,0.0206,-0.29,0.78,0.94,0,3.938,0.008,-0.180,0.125,0.014,-0.008,0.000,0.000,0.000,0.000
0,-0.2591,0.4035,0.0116,-0.0035,-0.0087,0.0164,-0.37,0.84,0.93,0,3.933,0.083,-0.194,0.327,0.015,-0.009,0.000,0.000,0.000,0.000
0,-0.2591,0.4024,0.0120,-0.0033,-0.0126,0.0163,-0.43,0.78,0.93,0,3.938,-0.101,-0.171,0.031,0.012,-0.009,0.000,0.000,0.000,0.000
0,-0.2575,0.3997,0.0118,0.0053,-0.0251,0.0139,-0.26,0.77,0.92,0,3.933,0.098,-0.061,-0.058,0.015,-0.007,0.000,0.000,0.000,0.000
0,-0.2571,0.3923,0.0112,0.0065,-0.0572,0.0089,-0.01,0.77,0.92,0,3.938,0.167,0.422,0.114,0.012,-0.006,0.000,0.000,0.000,0.000
0,-0.2573,0.3916,0.0126,0.0041,-0.0499,0.0148,-0.19,0.78,0.92,0,3.933,-0.191,0.074,-0.102,0.014,-0.007,0.000,0.000,0.000,0.000
0,-0.2630,0.4053,0.0107,-0.0233,0.0267,0.0039,-0.64,0.96,0.95,0,3.938,-0.191,0.021,-0.155,0.014,-0.009,0.000,0.000,0.000,0.000
0,-0.2625,0.4056,0.0112,-0.0162,0.0245,0.0069,-0.64,0.91,0.95,0,3.933,-0.078,-0.148,-0.083,0.012,-0.005,0.000,0.000,0.000,0.000
0,-0.2628,0.4046,0.0100,-0.0154,0.0170,0.0011,-0.40,0.87,0.93,0,3.938,-0.139,0.191,0.227,0.014,-0.008,0.000,0.000,0.000,0.000
0,-0.2621,0.4003,0.0103,-0.0094,-0.0045,0.0037,-0.44,0.83,0.93,0,3.933,0.011,0.199,-0.088,0.017,-0.008,0.000,0.000,0.000,0.000
0,-0.2620,0.3995,0.0079,-0.0074,-0.0071,-0.0063,-0.38,0.81,0.92,0,3.938,-0.151,-0.035,-0.364,0.014,-0.006,0.000,0.000,0.000,0.000
0,-0.2620,0.3991,0.0087,-0.0054,-0.0063,0.0007,-0.48,0.77,0.91,0,3.933,-0.216,-0.165,0.248,0.014,-0.009,0.000,0.000,0.000,0.000
0,-0.2631,0.3982,0.0110,-0.0089,-0.0121,0.0135,-0.42,0.81,0.91,0,3.938,-0.017,-0.068,0.261,0.013,-0.009,0.000,0.000,0.000,0.000
0,-0.2635,0.3989,0.0112,-0.0087,-0.0060,0.0133,-0.44,0.79,0.91,0,3.933,0.170,-0.091,0.043,0.016,-0.009,0.000,0.000,0.000,0.000
0,-0.2678,0.3991,0.0102,-0.0275,-0.0039,0.0076,-0.37,0.93,0.91,0,3.938,-0.297,0.175,0.014,0.013,-0.008,0.000,0.000,0.000,0.000
0,-0.2675,0.3970,0.0101,-0.0204,-0.0139,0.0077,-0.52,0.87,0.91,0,3.927,0.323,0.159,0.001,0.015,-0.008,0.000,0.000,0.000,0.000
50,-0.2670,0.4034,0.0105,-0.0136,0.0211,0.0095,-0.63,0.78,0.91,0,3.938,-0.127,-0.097,0.017,0.015,-0.006,0.000,0.000,0.000,0.000
101,-0.2666,0.4020,0.0108,-0.0082,0.0104,0.0105,-0.47,0.75,0.90,0,3.933,0.229,-0.155,-0.130,0.013,-0.008,0.000,0.000,0.000,0.000
152,-0.2672,0.4036,0.0115,-0.0090,0.0177,0.0129,-0.58,0.74,0.90,0,3.938,-0.095,-0.019,0.033,0.014,-0.008,0.000,0.000,0.000,0.000
203,-0.2667,0.4055,0.0114,-0.0041,0.0226,0.0116,-0.65,0.74,0.90,0,3.933,-0.172,-0.555,-0.211,0.014,-0.007,0.000,0.000,0.000,0.000
254,-0.2667,0.4065,0.0112,-0.0026,0.0227,0.0097,-0.56,0.71,0.90,0,3.938,0.043,0.160,-0.055,0.014,-0.007,0.000,0.000,0.000,0.000
305,-0.2669,0.4059,0.0112,-0.0027,0.0149,0.0093,-0.56,0.72,0.90,0,3.933,-0.224,0.098,0.059,0.014,-0.009,0.000,0.000,0.000,0.000
356,-0.2668,0.4056,0.0115,-0.0001,0.0096,0.0107,-0.49,0.71,0.90,0,3.938,-0.240,-0.032,0.195,0.016,-0.008,0.000,0.000,0.000,0.000
407,-0.2669,0.4076,0.0099,-0.0002,0.0176,0.0025,-0.51,0.71,0.90,0,3.933,-0.043,-0.067,-0.056,0.015,-0.008,0.000,0.000,0.000,0.000
458,-0.2670,0.4060,0.0101,0.0006,0.0054,0.0050,-0.44,0.69,0.90,0,3.938,-0.116,0.079,0.096,0.015,-0.010,0.000,0.000,0.000,0.000
509,-0.2670,0.4060,0.0104,0.0012,0.0041,0.0075,-0.46,0.70,0.89,0,3.933,-0.106,-0.099,-0.147,0.015,-0.006,0.000,0.000,0.000,0.000
560,-0.2665,0.4062,0.0101,0.0042,0.0044,0.0068,-0.42,0.69,0.90,0,3.938,0.154,-0.226,-0.194,0.016,-0.006,0.000,0.000,0.000,0.000
611,-0.2668,0.4067,0.0090,0.0029,0.0051,0.0023,-0.44,0.70,0.89,0,3.927,-0.147,-0.194,-0.085,0.014,-0.006,0.000,0.000,0.000,0.000
662,-0.2666,0.4062,0.0079,0.0047,0.0013,-0.0017,-0.38,0.69,0.90,0,3.938,-0.155,-0.014,-0.025,0.013,-0.007,0.000,0.000,0.000,0.000
713,-0.2668,0.4067,0.0074,0.0032,0.0037,-0.0011,-0.44,0.70,0.89,0,3.933,-0.081,-0.192,-0.078,0.014,-0.007,0.000,0.000,0.000,0.000
764,-0.2670,0.4058,0.0073,0.0023,-0.0010,0.0002,-0.43,0.72,0.89,0,3.938,0.008,-0.148,-0.195,0.018,-0.008,0.000,0.000,0.000,0.000
815,-0.2668,0.4056,0.0087,0.0039,-0.0024,0.0086,-0.44,0.72,0.88,0,3.933,0.128,0.119,-0.114,0.013,-0.007,0.000,0.000,0.000,0.000
867,-0.2666,0.4063,0.0083,0.0043,0.0016,0.0068,-0.42,0.73,0.88,0,3.943,0.089,0.282,-0.008,0.014,-0.007,0.000,0.000,0.000,0.000
917,-0.2666,0.4071,0.0090,0.0040,0.0053,0.0098,-0.41,0.71,0.88,0,3.933,0.062,0.150,0.161,0.016,-0.007,0.000,0.000,0.000,0.000
968,-0.2675,0.4040,0.0105,-0.0004,-0.0106,0.0161,-0.26,0.68,0.89,0,3.938,-0.082,0.069,-0.300,0.016,-0.005,0.000,0.000,0.000,0.000
1019,-0.2669,0.4057,0.0115,0.0032,-0.0002,0.0194,-0.40,0.74,0.89,0,3.933,-0.033,-0.078,0.169,0.015,-0.007,0.000,0.000,0.000,0.000
1070,-0.2679,0.4113,0.0106,-0.0019,0.0290,0.0124,-0.66,0.75,0.86,0,3.938,-0.462,-0.031,0.415,0.015,-0.006,0.000,0.000,0.000,0.000
1121,-0.2677,0.4127,0.0099,-0.0001,0.0297,0.0085,-0.62,0.75,0.86,0,3.933,-0.042,-0.002,-0.508,0.014,-0.006,0.000,0.000,0.000,0.000
1172,-0.2658,0.4014,0.0101,0.0125,-0.0376,0.0094,-0.10,0.66,0.89,0,3.938,-0.287,0.019,0.094,0.014,-0.007,0.000,0.000,0.000,0.000
