time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.1168,0.0877,0.0127,0.0296,-0.0295,0.0078,0.22,-0.34,-0.11,0,3.859,0.166,-0.082,-0.175,-0.003,-0.000,0.000,0.000,0.000,0.000
0,-0.1166,0.0873,0.0119,0.0246,-0.0252,0.0039,0.12,-0.23,-0.10,0,3.853,0.113,0.166,0.111,-0.003,-0.000,0.000,0.000,0.000,0.000
0,-0.1164,0.0867,0.0122,0.0202,-0.0224,0.0054,0.05,-0.19,-0.10,0,3.859,-0.013,-0.007,-0.243,0.001,0.001,0.000,0.000,0.000,0.000
0,-0.1164,0.0873,0.0109,0.0165,-0.0141,-0.0003,0.18,-0.14,-0.10,0,3.853,-0.013,0.378,0.244,-0.002,-0.001,0.000,0.000,0.000,0.000
0,-0.1159,0.0864,0.0124,0.0146,-0.0123,0.0077,-0.02,-0.16,-0.11,0,3.864,0.091,-0.396,-0.115,-0.001,-0.001,0.000,0.000,0.000,0.000
0,-0.1164,0.0873,0.0116,0.0092,-0.0044,0.0031,-0.02,-0.11,-0.11,0,3.853,0.285,-0.241,-0.174,0.001,-0.002,0.000,0.000,0.000,0.000
0,-0.1164,0.0864,0.0120,0.0074,-0.0065,0.0048,-0.08,-0.11,-0.11,0,3.859,-0.176,-0.245,0.172,-0.001,-0.000,0.000,0.000,0.000,0.000
0,-0.1163,0.0873,0.0118,0.0061,-0.0003,0.0032,0.01,-0.09,-0.11,0,3.853,0.238,-0.022,-0.117,-0.003,0.001,0.000,0.000,0.000,0.000
0,-0.1168,0.0860,0.0100,0.0020,-0.0049,-0.0043,0.01,-0.06,-0.11,0,3.859,0.185,0.029,0.267,-0.001,-0.001,0.000,0.000,0.000,0.000
0,-0.1166,0.0872,0.0098,0.0023,0.0031,-0.0032,-0.21,-0.05,-0.10,0,3.853,0.081,-0.200,-0.098,-0.001,-0.002,0.000,0.000,0.000,0.000
0,-0.1173,0.0903,0.0104,-0.0019,0.0168,0.0008,-0.20,-0.09,-0.10,0,3.864,0.211,-0.378,-0.041,-0.002,0.001,0.000,0.000,0.000,0.000
0,-0.1168,0.0939,0.0092,-0.0006,0.0320,-0.0036,-0.06,-0.09,-0.10,0,3.853,0.029,0.198,-0.142,-0.000,-0.001,0.000,0.000,0.000,0.000
0,-0.1147,0.0879,0.0081,0.0096,-0.0024,-0.0062,0.22,-0.20,-0.10,0,3.859,0.195,0.114,0.007,-0.001,-0.002,0.000,0.000,0.000,0.000
0,-0.1120,0.0856,0.0095,0.0200,-0.0114,0.0019,0.20,-0.23,-0.09,0,3.853,0.092,-0.101,0.010,-0.002,0.001,0.000,0.000,0.000,0.000
0,-0.1188,0.0825,0.0106,-0.0186,-0.0234,0.0072,0.10,0.09,-0.11,0,3.859,-0.248,-0.166,0.037,0.002,0.001,0.000,0.000,0.000,0.000
0,-0.1191,0.0832,0.0123,-0.0167,-0.0156,0.0136,-0.01,0.11,-0.10,0,3.853,0.155,-0.087,0.058,-0.002,-0.000,0.000,0.000,0.000,0.000
0,-0.1221,0.0850,0.0128,-0.0283,-0.0050,0.0142,-0.01,0.05,-0.10,0,3.864,0.414,-0.098,-0.294,-0.001,0.002,0.000,0.000,0.000,0.000
0,-0.1203,0.0848,0.0122,-0.0159,-0.0042,0.0102,-0.02,0.06,-0.09,0,3.853,0.027,0.131,0.317,-0.005,-0.000,0.000,0.000,0.000,0.000
0,-0.1210,0.0863,0.0100,-0.0170,0.0043,-0.0003,-0.01,0.00,-0.09,0,3.859,0.128,-0.289,-0.009,-0.000,0.000,0.000,0.000,0.000,0.000
0,-0.1198,0.0853,0.0106,-0.0083,-0.0004,0.0029,-0.03,0.01,-0.09,0,3.853,0.195,0.096,-0.204,-0.001,-0.001,0.000,0.000,0.000,0.000
0,-0.1188,0.0851,0.0100,-0.0003,-0.0015,0.0002,-0.04,-0.04,-0.09,0,3.864,0.077,-0.141,-0.117,0.000,0.000,0.000,0.000,0.000,0.000
0,-0.1212,0.0853,0.0080,-0.0112,-0.0006,-0.0072,-0.21,-0.05,-0.07,0,3.853,0.176,0.221,-0.178,-0.001,-0.001,0.000,0.000,0.000,0.000
0,-0.1214,0.0958,0.0075,-0.0096,0.0487,-0.0073,-0.29,-0.04,-0.07,0,3.859,0.172,0.261,0.103,-0.004,0.001,0.000,0.000,0.000,0.000
0,-0.1210,0.0961,0.0081,-0.0060,0.0420,-0.0025,-0.21,-0.12,-0.06,0,3.853,-0.184,0.060,0.518,-0.001,0.002,0.000,0.000,0.000,0.000
0,-0.1210,0.0957,0.0081,-0.0052,0.0321,-0.0009,-0.06,-0.13,-0.06,0,3.859,0.012,0.186,-0.120,-0.000,-0.001,0.000,0.000,0.000,0.000
0,-0.1212,0.0962,0.0097,-0.0050,0.0286,0.0068,-0.00,-0.09,-0.07,0,3.853,0.018,-0.005,-0.124,-0.003,-0.001,0.000,0.000,0.000,0.000
0,-0.1203,0.0908,0.0113,-0.0003,-0.0022,0.0131,-0.03,-0.09,-0.07,0,3.859,0.140,0.118,0.151,-0.003,0.002,0.000,0.000,0.000,0.000
0,-0.1212,0.0925,0.0110,-0.0048,0.0059,0.0095,0.20,-0.12,-0.07,0,3.853,0.235,0.047,0.327,-0.003,0.001,0.000,0.000,0.000,0.000
0,-0.1212,0.0906,0.0120,-0.0038,-0.0036,0.0124,0.17,-0.17,-0.07,0,3.859,0.091,0.093,0.137,-0.001,0.001,0.000,0.000,0.000,0.000
0,-0.1210,0.0897,0.0127,-0.0018,-0.0064,0.0132,0.13,-0.10,-0.06,0,3.853,0.075,0.337,0.217,-0.002,-0.000,0.000,0.000,0.000,0.000
0,-0.1212,0.0893,0.0114,-0.0020,-0.0077,0.0055,0.11,-0.15,-0.06,0,3.859,0.135,0.107,0.370,-0.001,0.002,0.000,0.000,0.000,0.000
50,-0.1203,0.0897,0.0100,0.0030,-0.0043,-0.0005,0.09,-0.16,-0.06,0,3.853,-0.157,-0.235,-0.055,-0.003,-0.001,0.000,0.000,0.000,0.000
102,-0.1207,0.0884,0.0100,0.0006,-0.0102,0.0001,0.17,-0.17,-0.06,0,3.859,0.327,0.063,-0.027,-0.001,0.003,0.000,0.000,0.000,0.000
152,-0.1199,0.0895,0.0091,0.0048,-0.0031,-0.0025,-0.03,-0.10,-0.06,0,3.853,-0.172,-0.042,0.011,0.000,-0.000,0.000,0.000,0.000,0.000
204,-0.1209,0.0918,0.0091,-0.0006,0.0081,-0.0005,-0.03,-0.13,-0.06,0,3.859,-0.086,0.008,-0.094,0.000,-0.002,0.000,0.000,0.000,0.000
254,-0.1222,0.0911,0.0101,-0.0067,0.0026,0.0040,-0.03,-0.08,-0.06,0,3.853,0.051,-0.312,0.102,-0.004,0.001,0.000,0.000,0.000,0.000
305,-0.1215,0.0922,0.0118,-0.0024,0.0069,0.0114,0.02,-0.14,-0.06,0,3.859,0.078,0.059,0.188,-0.002,0.002,0.000,0.000,0.000,0.000
357,-0.1209,0.0903,0.0112,0.0018,-0.0040,0.0075,-0.02,-0.12,-0.06,0,3.853,0.087,0.000,-0.070,-0.002,0.000,0.000,0.000,0.000,0.000
407,-0.1209,0.0924,0.0125,0.0023,0.0063,0.0122,0.09,-0.24,-0.06,0,3.859,0.248,0.171,0.095,-0.003,0.001,0.000,0.000,0.000,0.000
458,-0.1192,0.0903,0.0123,0.0100,-0.0055,0.0090,0.01,-0.12,-0.06,0,3.853,0.319,0.014,0.131,-0.002,0.002,0.000,0.000,0.000,0.000
509,-0.1188,0.0892,0.0117,0.0111,-0.0106,0.0050,0.06,-0.25,-0.06,0,3.859,0.096,0.043,0.034,-0.002,0.001,0.000,0.000,0.000,0.000
