time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,1.7395,0.4043,0.0099,-0.0010,-0.0029,-0.0018,-0.77,-0.06,-30.87,0,0.000,-0.223,0.115,-0.456,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7394,0.4047,0.0104,-0.0014,-0.0014,0.0005,-0.83,-0.08,-30.84,0,0.000,-0.017,0.038,0.012,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7405,0.4048,0.0104,0.0046,-0.0006,0.0005,-0.77,-0.06,-30.81,0,0.000,-0.126,0.258,0.423,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7401,0.4040,0.0104,0.0021,-0.0045,0.0007,-0.77,-0.06,-30.78,0,0.000,-0.351,0.140,0.175,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7413,0.4051,0.0104,0.0083,0.0014,0.0008,-0.84,-0.06,-30.75,0,0.000,0.192,-0.161,-0.262,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7401,0.4040,0.0107,0.0020,-0.0046,0.0022,-0.80,-0.06,-30.72,0,0.000,0.150,0.200,0.035,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7401,0.4040,0.0107,0.0021,-0.0048,0.0023,-0.80,-0.07,-30.69,0,0.000,-0.030,-0.041,-0.158,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7409,0.4054,0.0107,0.0064,0.0026,0.0026,-0.51,-0.08,-30.66,0,0.000,-0.004,-0.009,-0.225,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7406,0.4048,0.0108,0.0042,-0.0007,0.0030,-0.61,-0.11,-30.63,0,0.000,-0.083,0.163,0.271,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7408,0.4047,0.0108,0.0050,-0.0013,0.0030,-0.51,-0.09,-30.59,0,0.000,-0.026,-0.022,-0.279,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7376,0.3983,0.0109,-0.0121,-0.0344,0.0032,-0.62,-0.04,-30.56,0,0.000,-0.133,0.018,-0.293,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7392,0.3998,0.0106,-0.0030,-0.0255,0.0020,-0.62,-0.04,-30.54,0,0.000,-0.037,-0.030,-0.068,0.000,0.000,0.000,0.000,0.000,0.000
0,1.7376,0.3979,0.0106,-0.0117,-0.0345,0.0017,-0.61,-0.05,-30.51,0,0.000,0.111,0.172,-0.352,0.000,0.000,0.000,0.000,0.000,0.000
