time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.000000,0.300000,0.000000,0.300000,-0.000000,0.188496,0.000000,0.707107,0.000000,0.000000,0.707107,0.000000,0.000000,0.000000,0.300000,0.000000,0.300000,-0.000000,0.188496,0.000000,0.264889,-0.000085,-0.000000,0.001257,29890.326172,23087.541016,29370.732422,23607.134766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.300000,0.001885,0.300000,-0.000008,0.188496,0.000007,0.707099,-0.000001,-0.000001,0.707114,-0.049708,-0.000051,0.433323,0.299994,0.001885,0.300000,-0.001184,0.188492,0.000000,0.264890,-0.000031,0.000000,0.000440,27682.378906,25293.191406,27496.011719,25484.472656,0.000006,0.000000,0.000000,0.001176,0.000004,0.000007
0.020000,0.300000,0.003770,0.300000,-0.000036,0.188496,0.000015,0.707081,-0.000003,-0.000003,0.707132,-0.067772,-0.000028,0.585073,0.299976,0.003770,0.300000,-0.002369,0.188481,0.000000,0.264891,-0.000013,0.000001,0.000186,26993.910156,25980.132812,26916.371094,26065.953125,0.000023,0.000000,0.000000,0.002333,0.000015,0.000015
0.030000,0.299999,0.005655,0.300000,-0.000071,0.188495,0.000022,0.707059,-0.000005,-0.000005,0.707154,-0.075587,0.000055,0.649355,0.299947,0.005655,0.300000,-0.003553,0.188462,0.000000,0.264892,-0.000008,0.000001,0.000108,26779.402344,26194.191406,26737.000000,26246.132812,0.000053,0.000000,0.000000,0.003482,0.000033,0.000022
0.040000,0.299998,0.007540,0.300001,-0.000110,0.188495,0.000030,0.707036,-0.000008,-0.000008,0.707178,-0.080100,0.000144,0.686461,0.299905,0.007539,0.300000,-0.004737,0.188436,0.000000,0.264893,-0.000006,0.000001,0.000083,26712.595703,26260.822266,26681.447266,26302.205078,0.000093,0.000001,0.000001,0.004627,0.000059,0.000030
0.050000,0.299997,0.009425,0.300001,-0.000153,0.188495,0.000039,0.707011,-0.000011,-0.000011,0.707203,-0.083570,0.000229,0.715117,0.299852,0.009423,0.300000,-0.005921,0.188403,0.000000,0.264894,-0.000005,0.000001,0.000075,26691.798828,26281.474609,26664.224609,26319.939453,0.000145,0.000002,0.000001,0.005768,0.000093,0.000039
0.060000,0.299996,0.011310,0.300001,-0.000197,0.188495,0.000047,0.706985,-0.000014,-0.000014,0.707228,-0.086731,0.000312,0.741138,0.299787,0.011307,0.300000,-0.007104,0.188362,0.000000,0.264895,-0.000005,0.000001,0.000073,26685.333984,26287.794922,26658.865234,26325.841797,0.000209,0.000003,0.000001,0.006907,0.000134,0.000047
0.070000,0.299993,0.013195,0.300002,-0.000244,0.188495,0.000057,0.706959,-0.000017,-0.000017,0.707255,-0.089818,0.000396,0.766330,0.299710,0.013190,0.300000,-0.008288,0.188313,0.000000,0.264896,-0.000005,0.000001,0.000072,26683.316406,26289.636719,26657.179688,26328.101562,0.000284,0.000004,0.000002,0.008044,0.000182,0.000057
0.080000,0.299991,0.015080,0.300003,-0.000293,0.188496,0.000066,0.706931,-0.000021,-0.000020,0.707283,-0.092911,0.000484,0.791253,0.299621,0.015073,0.300000,-0.009471,0.188258,0.000000,0.264897,-0.000005,0.000001,0.000072,26682.693359,26290.087891,26656.642578,26329.240234,0.000370,0.000006,0.000003,0.009177,0.000238,0.000066
0.090000,0.299988,0.016965,0.300003,-0.000345,0.188496,0.000076,0.706903,-0.000024,-0.000024,0.707311,-0.096033,0.000574,0.816080,0.299520,0.016956,0.300000,-0.010653,0.188194,0.000000,0.264898,-0.000005,0.000001,0.000072,26682.484375,26290.109375,26656.457031,26330.058594,0.000467,0.000009,0.000003,0.010308,0.000301,0.000076
