time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,26487.001953,26487.001953,26487.001953,26487.001953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.500000,0.000001,-0.000002,0.000000,0.264870,0.000016,0.000010,0.000000,26407.552734,26505.947266,26566.451172,26468.056641,-0.000000,0.000000,0.000000,-0.000001,0.000002,0.000000
0.020000,0.000000,-0.000000,0.500000,0.000001,-0.000002,0.000000,1.000000,0.000000,0.000000,0.000000,0.009413,0.005788,0.000000,0.000000,-0.000000,0.500000,0.000011,-0.000018,0.000000,0.264870,0.000022,0.000013,0.000000,26378.486328,26512.564453,26595.525391,26461.447266,-0.000000,0.000000,0.000000,-0.000010,0.000016,0.000000
0.030000,0.000000,-0.000000,0.500000,0.000005,-0.000008,0.000000,1.000000,0.000001,0.000001,0.000000,0.022240,0.013725,0.000000,0.000000,-0.000000,0.500000,0.000036,-0.000059,0.000000,0.264870,0.000024,0.000015,0.000000,26365.601562,26515.207031,26608.417969,26458.804688,-0.000000,0.000000,0.000000,-0.000031,0.000051,0.000000
0.040000,0.000000,-0.000000,0.500000,0.000013,-0.000022,0.000000,1.000000,0.000002,0.000002,0.000000,0.036553,0.022642,0.000000,0.000001,-0.000001,0.500000,0.000086,-0.000139,0.000000,0.264870,0.000026,0.000016,0.000000,26357.806641,26516.587891,26616.259766,26457.447266,-0.000001,0.000001,0.000000,-0.000073,0.000117,0.000000
0.050000,0.000000,-0.000000,0.500000,0.000026,-0.000043,0.000000,1.000000,0.000005,0.000003,0.000000,0.051744,0.032176,0.000001,0.000002,-0.000003,0.500000,0.000167,-0.000270,0.000000,0.264871,0.000027,0.000017,0.000000,26351.490234,26517.595703,26622.654297,26456.486328,-0.000002,0.000003,0.000000,-0.000141,0.000227,0.000000
0.060000,0.000001,-0.000001,0.500000,0.000044,-0.000072,0.000000,1.000000,0.000008,0.000005,0.000000,0.067638,0.042223,0.000004,0.000004,-0.000007,0.500000,0.000287,-0.000464,0.000000,0.264871,0.000028,0.000018,0.000000,26345.501953,26518.521484,26628.783203,26455.646484,-0.000004,0.000006,0.000000,-0.000243,0.000392,0.000000
0.070000,0.000001,-0.000002,0.500000,0.000068,-0.000109,0.000001,1.000000,0.000011,0.000007,0.000000,0.084196,0.052766,0.000008,0.000008,-0.000013,0.500000,0.000454,-0.000731,0.000000,0.264872,0.000029,0.000019,0.000000,26339.474609,26519.462891,26635.037109,26454.845703,-0.000007,0.000011,0.000000,-0.000387,0.000622,0.000001
0.080000,0.000002,-0.000003,0.500000,0.000097,-0.000155,0.000001,1.000000,0.000016,0.000010,0.000000,0.101425,0.063813,0.000015,0.000014,-0.000022,0.500000,0.000675,-0.001083,0.000000,0.264874,0.000030,0.000020,0.000000,26333.306641,26520.466797,26641.556641,26454.083984,-0.000012,0.000019,0.000000,-0.000578,0.000928,0.000001
0.090000,0.000003,-0.000005,0.500000,0.000132,-0.000211,0.000003,1.000000,0.000022,0.000014,0.000000,0.119345,0.075383,0.000025,0.000022,-0.000035,0.500000,0.000956,-0.001531,0.000000,0.264876,0.000032,0.000021,0.000000,26326.978516,26521.541016,26648.384766,26453.345703,-0.000019,0.000030,0.000000,-0.000824,0.001320,0.000003
0.100000,0.000004,-0.000007,0.500000,0.000174,-0.000277,0.000005,1.000000,0.000028,0.000018,0.000000,0.137981,0.087495,0.000042,0.000033,-0.000053,0.500000,0.001304,-0.002084,0.000000,0.264879,0.000033,0.000022,0.000000,26320.500000,26522.707031,26655.554688,26452.660156,-0.000028,0.000046,0.000000,-0.001131,0.001807,0.000005
0.110000,0.000006,-0.000010,0.500000,0.000222,-0.000353,0.000008,1.000000,0.000035,0.000022,0.000000,0.157359,0.100171,0.000065,0.000048,-0.000077,0.500000,0.001726,-0.002753,0.000000,0.264882,0.000034,0.000023,0.000000,26313.886719,26523.976562,26663.070312,26452.035156,-0.000042,0.000067,0.000000,-0.001504,0.002399,0.000008
0.120000,0.000009,-0.000014,0.500000,0.000278,-0.000441,0.000012,1.000000,0.000044,0.000028,0.000000,0.177502,0.113433,0.000098,0.000068,-0.000108,0.500000,0.002229,-0.003546,0.000000,0.264887,0.000036,0.000024,0.000000,26307.173828,26525.365234,26670.958984,26451.494141,-0.000059,0.000094,0.000000,-0.001951,0.003105,0.000012
0.130000,0.000012,-0.000019,0.500000,0.000341,-0.000540,0.000019,1.000000,0.000053,0.000034,0.000000,0.198437,0.127300,0.000142,0.000093,-0.000148,0.500000,0.002818,-0.004472,0.000000,0.264894,0.000037,0.000025,0.000000,26300.394531,26526.898438,26679.242188,26451.074219,-0.000081,0.000130,0.000000,-0.002477,0.003932,0.000019
0.140000,0.000015,-0.000025,0.500001,0.000413,-0.000651,0.000028,1.000000,0.000064,0.000040,0.000000,0.220186,0.141795,0.000199,0.000124,-0.000198,0.500000,0.003499,-0.005540,0.000000,0.264902,0.000038,0.000026,0.000000,26293.572266,26528.580078,26687.927734,26450.779297,-0.000109,0.000174,0.000001,-0.003086,0.004889,0.000028
0.150000,0.000020,-0.000031,0.500001,0.000492,-0.000775,0.000039,1.000000,0.000075,0.000048,0.000000,0.242770,0.156938,0.000273,0.000163,-0.000260,0.500000,0.004278,-0.006758,0.000000,0.264912,0.000040,0.000027,0.000000,26286.748047,26530.431641,26697.029297,26450.642578,-0.000143,0.000228,0.000001,-0.003785,0.005982,0.000039
0.160000,0.000025,-0.000040,0.500001,0.000581,-0.000913,0.000055,1.000000,0.000088,0.000056,0.000000,0.266212,0.172747,0.000366,0.000210,-0.000334,0.500000,0.005160,-0.008132,0.000000,0.264924,0.000041,0.000028,0.000000,26279.957031,26532.484375,26706.578125,26450.699219,-0.000185,0.000294,0.000001,-0.004578,0.007219,0.000055
0.170000,0.000031,-0.000049,0.500002,0.000680,-0.001065,0.000075,1.000000,0.000102,0.000065,0.000000,0.290530,0.189243,0.000482,0.000267,-0.000423,0.500000,0.006150,-0.009669,0.000000,0.264939,0.000043,0.000029,0.000000,26273.232422,26534.736328,26716.572266,26450.958984,-0.000236,0.000373,0.000002,-0.005470,0.008604,0.000075
0.180000,0.000038,-0.000061,0.500003,0.000788,-0.001232,0.000100,1.000000,0.000117,0.000075,0.000000,0.315743,0.206443,0.000624,0.000334,-0.000528,0.500000,0.007254,-0.011377,0.000000,0.264956,0.000044,0.000030,0.000000,26266.617188,26537.222656,26727.039062,26451.464844,-0.000295,0.000467,0.000003,-0.006466,0.010145,0.000100
0.190000,0.000047,-0.000074,0.500004,0.000907,-0.001414,0.000131,1.000000,0.000134,0.000086,0.000000,0.341868,0.224366,0.000795,0.000412,-0.000651,0.500000,0.008475,-0.013260,0.000000,0.264976,0.000046,0.000032,0.000001,26260.148438,26539.964844,26738.000000,26452.238281,-0.000366,0.000577,0.000004,-0.007568,0.011846,0.000131
0.200000,0.000056,-0.000088,0.500006,0.001037,-0.001612,0.000170,1.000000,0.000151,0.000097,0.000000,0.368920,0.243030,0.001000,0.000504,-0.000794,0.500000,0.009819,-0.015325,0.000000,0.264999,0.000048,0.000033,0.000001,26253.867188,26542.968750,26749.460938,26453.304688,-0.000447,0.000705,0.000006,-0.008782,0.013713,0.000170
0.210000,0.000067,-0.000105,0.500008,0.001179,-0.001828,0.000217,1.000000,0.000170,0.000110,0.000000,0.396913,0.262450,0.001243,0.000609,-0.000958,0.500000,0.011290,-0.017575,0.000000,0.265026,0.000049,0.000034,0.000001,26247.808594,26546.277344,26761.445312,26454.695312,-0.000542,0.000853,0.000008,-0.010111,0.015748,0.000217
0.220000,0.000079,-0.000124,0.500010,0.001333,-0.002061,0.000275,1.000000,0.000191,0.000124,0.000000,0.425860,0.282642,0.001529,0.000730,-0.001146,0.500000,0.012890,-0.020016,0.000000,0.265056,0.000051,0.000036,0.000001,26242.019531,26549.886719,26773.960938,26456.437500,-0.000650,0.001021,0.000010,-0.011558,0.017955,0.000275
0.230000,0.000093,-0.000146,0.500013,0.001499,-0.002312,0.000343,1.000000,0.000213,0.000138,0.000000,0.455772,0.303622,0.001862,0.000867,-0.001359,0.500000,0.014624,-0.022650,0.000000,0.265090,0.000053,0.000037,0.000001,26236.531250,26553.835938,26787.027344,26458.558594,-0.000774,0.001213,0.000013,-0.013125,0.020338,0.000343
0.240000,0.000109,-0.000170,0.500017,0.001679,-0.002583,0.000424,1.000000,0.000237,0.000154,0.000000,0.486657,0.325404,0.002247,0.001023,-0.001599,0.500000,0.016496,-0.025481,0.000000,0.265128,0.000054,0.000038,0.000001,26231.396484,26558.138672,26800.658203,26461.087891,-0.000914,0.001430,0.000017,-0.014817,0.022899,0.000424
0.250000,0.000126,-0.000197,0.500022,0.001873,-0.002873,0.000518,1.000000,0.000262,0.000171,0.000001,0.518523,0.348000,0.002689,0.001198,-0.001869,0.500000,0.018507,-0.028513,0.000000,0.265171,0.000056,0.000040,0.000001,26226.640625,26562.804688,26814.851562,26464.039062,-0.001071,0.001672,0.000022,-0.016634,0.025640,0.000518
0.260000,0.000146,-0.000227,0.500027,0.002081,-0.003185,0.000629,1.000000,0.000288,0.000189,0.000001,0.551376,0.371423,0.003194,0.001393,-0.002170,0.500000,0.020661,-0.031746,0.000000,0.265218,0.000058,0.000041,0.000002,26222.310547,26567.869141,26829.638672,26467.462891,-0.001247,0.001944,0.000027,-0.018580,0.028562,0.000629
