time,roll_rad,pitch_rad,yaw_rad,x,y,z
0.001007000,-0.045287181,0.000238764,-0.025457516,0.000000,0.000000,1.000000
0.002003000,-0.045197599,0.000350006,-0.025466217,0.000000,0.000001,1.000000
0.002989000,-0.045107175,0.000458750,-0.025477514,0.000001,0.000002,0.999999
0.004039000,-0.045016214,0.000566312,-0.025490662,0.000002,0.000004,0.999999
0.004974000,-0.044914745,0.000682488,-0.025506191,0.000003,0.000006,0.999998
0.005968000,-0.044822242,0.000785138,-0.025520518,0.000005,0.000009,0.999996
0.006960000,-0.044724092,0.000894583,-0.025534866,0.000007,0.000013,0.999995
0.007950000,-0.044624127,0.001006426,-0.025547095,0.000009,0.000017,0.999993
0.008986000,-0.044522777,0.001119513,-0.025556797,0.000012,0.000022,0.999992
0.009924000,-0.044417817,0.001239948,-0.025564499,0.000015,0.000026,0.999990
0.010917000,-0.044321775,0.001352485,-0.025569949,0.000017,0.000032,0.999988
0.011910000,-0.044217911,0.001473109,-0.025575055,0.000021,0.000038,0.999986
0.012905000,-0.044114526,0.001593279,-0.025580002,0.000024,0.000044,0.999985
0.013940000,-0.044010833,0.001714618,-0.025584983,0.000028,0.000052,0.999983
0.014891000,-0.043903101,0.001841712,-0.025590407,0.000031,0.000059,0.999981
0.015885999,-0.045101408,0.001944987,-0.025596712,0.000059,0.001579,0.999214
0.016866000,-0.045008261,0.002066497,-0.025601830,0.000065,0.001688,0.999208
0.017855000,-0.044917829,0.002186233,-0.025605921,0.000071,0.001798,0.999201
0.018893000,-0.044829424,0.002304595,-0.025608277,0.000078,0.001915,0.999194
0.019846000,-0.044739801,0.002425069,-0.025608197,0.000085,0.002023,0.999188
0.020834001,-0.044656470,0.002533278,-0.025605971,0.000092,0.002135,0.999181
0.021823000,-0.044569865,0.002643096,-0.025601868,0.000099,0.002248,0.999174
0.022821000,-0.044483606,0.002750879,-0.025596093,0.000106,0.002362,0.999167
0.023860000,-0.044391323,0.002859364,-0.025588978,0.000114,0.002482,0.999160
0.024800001,-0.044288129,0.002971615,-0.025580304,0.000121,0.002590,0.999153
0.025792001,-0.044190809,0.003069204,-0.025570473,0.000129,0.002705,0.999145
0.026775001,-0.044082299,0.003166527,-0.025557514,0.000137,0.002819,0.999138
0.027772000,-0.043970414,0.003257934,-0.025542822,0.000146,0.002935,0.999130
0.028805001,-0.043859150,0.003344473,-0.025526606,0.000154,0.003056,0.999121
0.029751999,-0.043746315,0.003427579,-0.025508722,0.000163,0.003167,0.999114
0.030742001,-0.043642897,0.003499748,-0.025493048,0.000171,0.003285,0.999105
0.031732000,-0.043537900,0.003571770,-0.025480606,0.000180,0.003403,0.999097
0.032724999,-0.043435659,0.003642744,-0.025475021,0.000189,0.003522,0.999089
0.033764001,-0.043331809,0.003718953,-0.025477383,0.000198,0.003648,0.999080
0.034713998,-0.043222740,0.003805835,-0.025486208,0.000206,0.003764,0.999071
0.035698000,-0.043122567,0.003888939,-0.025496749,0.000215,0.003884,0.999063
0.036685999,-0.043014340,0.003978545,-0.025507951,0.000224,0.004006,0.999054
0.037682999,-0.042902417,0.004071353,-0.025518639,0.000233,0.004129,0.999045
0.038722999,-0.042789005,0.004163534,-0.025528055,0.000243,0.004258,0.999036
0.039666001,-0.042667314,0.004257112,-0.025535572,0.000252,0.004375,0.999027
0.040656999,-0.042557105,0.004340901,-0.025539603,0.000265,0.004509,1.081220
0.041652001,-0.042436495,0.004421008,-0.025540404,0.000275,0.004634,1.081213
0.042636000,-0.042313404,0.004493448,-0.025538046,0.000286,0.004758,1.081206
0.043673001,-0.042188965,0.004561476,-0.025534101,0.000297,0.004888,1.081198
0.044626001,-0.042058434,0.004630379,-0.025529865,0.000307,0.005009,1.081191
0.045607999,-0.041939653,0.004692385,-0.025527002,0.000318,0.005134,1.081183
0.046601001,-0.041817375,0.004760174,-0.025526080,0.000329,0.005260,1.081175
0.047594000,-0.041696087,0.004832774,-0.025527664,0.000340,0.005388,1.081167
0.048627000,-0.041577943,0.004906148,-0.025531420,0.000352,0.005521,1.081159
0.049575001,-0.041455999,0.004984373,-0.025536556,0.000362,0.005644,1.081151
0.050562002,-0.041344400,0.005056347,-0.025540581,0.000374,0.005772,1.081143
0.051559001,-0.041227449,0.005126239,-0.025541758,0.000386,0.005902,1.081135
0.052544001,-0.041105010,0.005192312,-0.025538776,0.000397,0.006032,1.081126
0.053585000,-0.040978808,0.005254598,-0.025532141,0.000410,0.006169,1.081118
0.054536000,-0.040841583,0.005315414,-0.025522735,0.000422,0.006295,1.081109
0.055521000,-0.038202655,0.005069275,-0.025511112,0.000028,0.003634,1.081168
0.056524999,-0.038067762,0.005130172,-0.025504202,0.000031,0.003703,1.081162
0.057510000,-0.037930448,0.005192475,-0.025500339,0.000035,0.003772,1.081156
0.058538001,-0.037795138,0.005250028,-0.025499480,0.000039,0.003844,1.081149
0.059482999,-0.037650678,0.005305727,-0.025500670,0.000043,0.003910,1.081144
0.060472999,-0.037514742,0.005348695,-0.025502242,0.000048,0.003980,1.081138
0.061469998,-0.037369557,0.005384367,-0.025503214,0.000053,0.004051,1.081131
0.062454998,-0.037220545,0.005417542,-0.025503593,0.000058,0.004121,1.081125
0.063496001,-0.037072413,0.005449477,-0.025503933,0.000063,0.004195,1.081119
0.064446002,-0.036916923,0.005480888,-0.025504153,0.000068,0.004263,1.081113
0.065443002,-0.036774840,0.005510173,-0.025503529,0.000074,0.004335,1.081106
0.066419996,-0.036624689,0.005540540,-0.025500817,0.000079,0.004406,1.081100
0.067415997,-0.036478072,0.005565185,-0.025494888,0.000085,0.004479,1.081093
0.068448998,-0.036328197,0.005587225,-0.025484739,0.000091,0.004555,1.081086
0.069394998,-0.036168866,0.005609941,-0.025470085,0.000097,0.004624,1.081079
0.070386000,-0.036018804,0.005628226,-0.025454208,0.000103,0.004698,1.081072
0.071377002,-0.035856847,0.005645698,-0.025437625,0.000109,0.004772,1.081065
0.072370999,-0.035688359,0.005663791,-0.025423514,0.000116,0.004847,1.081058
0.073404998,-0.035514895,0.005678947,-0.025412295,0.000124,0.004925,1.081050
0.074354999,-0.035333332,0.005690919,-0.025402308,0.000131,0.004997,1.081043
0.075345002,-0.040182475,-0.000890220,-0.025416646,-0.003472,0.007955,1.081085
0.076337002,-0.040002357,-0.000878158,-0.025405545,-0.003561,0.008109,1.081074
0.077322997,-0.039819997,-0.000869090,-0.025392791,-0.003650,0.008262,1.081063
0.078360997,-0.039634984,-0.000861465,-0.025379585,-0.003743,0.008424,1.081051
0.079309002,-0.039433774,-0.000856025,-0.025366625,-0.003829,0.008573,1.081039
0.080294997,-0.039247066,-0.000857235,-0.025356568,-0.003917,0.008727,1.081027
0.081294999,-0.039050929,-0.000864232,-0.025348157,-0.004007,0.008885,1.081015
0.082282998,-0.038847990,-0.000876149,-0.025340756,-0.004096,0.009040,1.081003
0.083319999,-0.038646616,-0.000894883,-0.025333034,-0.004189,0.009204,1.080990
0.084273003,-0.038427848,-0.000919848,-0.025323801,-0.004276,0.009337,1.079378
0.085263997,-0.038673263,-0.000319270,-0.025313638,-0.004055,0.009700,1.079369
0.086245999,-0.038472481,-0.000336898,-0.025303381,-0.004134,0.009862,1.079353
0.087233998,-0.038275477,-0.000350018,-0.025293162,-0.004213,0.010026,1.079338
0.088271998,-0.038076453,-0.000356781,-0.025283832,-0.004297,0.010199,1.079321
0.089221001,-0.037865501,-0.000358441,-0.025275752,-0.004373,0.010358,1.079306
0.090207003,-0.037674148,-0.000359284,-0.025269754,-0.004451,0.010524,1.079290
0.091200002,-0.037475388,-0.000361738,-0.025264615,-0.004531,0.010691,1.079274
0.092188999,-0.037272472,-0.000367527,-0.025260480,-0.004609,0.010859,1.079258
0.093227997,-0.037070222,-0.000379763,-0.025257496,-0.004692,0.011035,1.079241
