t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.264870,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000
0.001000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000771,0.000298,0.000077,0.000000,0.000000,0.000000,0.264870,-0.000010,0.000026,0.000000,-0.000298,0.000771,0.000000,-0.594343,1.539087,0.000000
0.002000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000002,0.000001,0.000000,0.003072,0.001187,0.000307,0.000000,0.000000,0.000000,0.264870,-0.000020,0.000051,0.000000,-0.001187,0.003072,0.000000,-1.182243,3.060707,0.000004
0.003000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000007,0.000003,0.000001,0.006887,0.002660,0.000689,0.000000,0.000000,0.000002,0.264870,-0.000029,0.000076,0.000000,-0.002660,0.006887,0.000000,-1.763728,4.564937,0.000021
0.004000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000016,0.000006,0.000002,0.012196,0.004712,0.001220,0.000000,0.000000,0.000004,0.264870,-0.000039,0.000100,0.000000,-0.004712,0.012196,0.000000,-2.338825,6.051853,0.000065
0.005000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000032,0.000012,0.000003,0.018985,0.007336,0.001898,0.000000,0.000000,0.000007,0.264870,-0.000048,0.000125,0.000000,-0.007336,0.018985,0.000000,-2.907559,7.521524,0.000156
0.006000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000055,0.000021,0.000005,0.027234,0.010525,0.002723,0.000000,0.000000,0.000012,0.264870,-0.000058,0.000149,0.000000,-0.010525,0.027234,0.000000,-3.469956,8.974022,0.000318
0.007000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000087,0.000034,0.000009,0.036927,0.014274,0.003693,0.000000,0.000000,0.000019,0.264870,-0.000067,0.000173,0.000000,-0.014274,0.036927,0.000000,-4.026039,10.409415,0.000582
0.008000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000129,0.000050,0.000013,0.048048,0.018575,0.004805,0.000000,0.000000,0.000029,0.264870,-0.000076,0.000196,0.000000,-0.018575,0.048048,0.000000,-4.575830,11.827765,0.000982
0.009000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000183,0.000071,0.000018,0.060578,0.023424,0.006058,0.000000,0.000000,0.000041,0.264870,-0.000085,0.000219,0.000000,-0.023423,0.060578,0.000001,-5.119352,13.229133,0.001555
0.010000,0.000000,0.000000,1.000000,0.000001,0.000000,0.000000,0.000251,0.000097,0.000025,0.074502,0.028812,0.007450,0.000000,0.000000,0.000056,0.264871,-0.000094,0.000242,0.000000,-0.028812,0.074502,0.000001,-5.656625,14.613583,0.002347
