t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz
0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000
0.005000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261662,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199999,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000594,0.263263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263263,0.000000,0.000000,0.000000
0.015000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199995,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000892,0.263809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263809,0.000000,0.000000,0.000000
0.020000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199990,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001088,0.264094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264094,0.000000,0.000000,0.000000
0.025000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199984,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001232,0.264277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264277,0.000000,0.000000,0.000000
0.030000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199978,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001342,0.264408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264408,0.000000,0.000000,0.000000
0.035000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199971,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001427,0.264513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264513,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199963,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001493,0.264601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264601,0.000000,0.000000,0.000000
0.045000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199956,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001543,0.264676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264676,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199948,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001579,0.264741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264741,0.000000,0.000000,0.000000
0.055000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199940,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001603,0.264798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264798,0.000000,0.000000,0.000000
0.060000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199932,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001616,0.264849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264849,0.000000,0.000000,0.000000
0.065000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199924,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001620,0.264894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264894,0.000000,0.000000,0.000000
0.070000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199916,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001616,0.264933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264933,0.000000,0.000000,0.000000
0.075000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199908,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001604,0.264966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264966,0.000000,0.000000,0.000000
0.080000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199900,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001586,0.264993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264993,0.000000,0.000000,0.000000
0.085000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199892,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001564,0.265017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265017,0.000000,0.000000,0.000000
0.090000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199884,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.001537,0.265036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265036,0.000000,0.000000,0.000000
