time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.0985,0.3209,0.0083,0.0003,-0.0040,0.0118,-0.79,0.53,0.27,0,4.017,0.192,0.198,-0.045,0.010,-0.014,0.000,0.000,0.000,0.000
0,-0.0980,0.3225,0.0092,0.0029,0.0049,0.0157,-0.69,0.58,0.27,0,4.006,-0.184,-0.152,0.244,0.010,-0.013,0.000,0.000,0.000,0.000
0,-0.0985,0.3216,0.0089,0.0003,0.0006,0.0127,-0.70,0.51,0.27,0,4.017,0.110,-0.075,-0.066,0.010,-0.010,0.000,0.000,0.000,0.000
0,-0.0980,0.3225,0.0086,0.0026,0.0060,0.0099,-0.73,0.51,0.27,0,4.006,-0.151,0.060,0.156,0.011,-0.013,0.000,0.000,0.000,0.000
0,-0.0978,0.3225,0.0093,0.0034,0.0056,0.0125,-0.71,0.50,0.28,0,4.017,0.036,0.128,-0.109,0.009,-0.012,0.000,0.000,0.000,0.000
0,-0.0983,0.3219,0.0103,0.0001,0.0023,0.0159,-0.69,0.51,0.28,0,4.006,-0.070,0.070,-0.010,0.007,-0.012,0.000,0.000,0.000,0.000
0,-0.0976,0.3163,0.0089,0.0033,-0.0265,0.0081,-0.59,0.54,0.28,0,4.017,-0.118,-0.019,-0.081,0.011,-0.013,0.000,0.000,0.000,0.000
0,-0.0989,0.3197,0.0076,-0.0041,-0.0044,0.0024,-0.52,0.54,0.28,0,4.006,-0.011,-0.234,-0.288,0.009,-0.011,0.000,0.000,0.000,0.000
0,-0.0985,0.3209,0.0062,-0.0013,0.0042,-0.0024,-0.80,0.58,0.29,0,4.017,-0.056,-0.208,-0.028,0.007,-0.012,0.000,0.000,0.000,0.000
0,-0.0999,0.3205,0.0055,-0.0087,0.0009,-0.0032,-0.80,0.54,0.28,0,4.006,-0.005,-0.020,0.270,0.010,-0.014,0.000,0.000,0.000,0.000
0,-0.0989,0.3216,0.0078,-0.0027,0.0060,0.0095,-0.76,0.60,0.29,0,4.017,-0.010,-0.014,-0.182,0.011,-0.012,0.000,0.000,0.000,0.000
0,-0.0993,0.3206,0.0074,-0.0039,-0.0002,0.0070,-0.73,0.55,0.28,0,4.006,-0.123,0.008,0.171,0.010,-0.014,0.000,0.000,0.000,0.000
0,-0.0996,0.3199,0.0071,-0.0042,-0.0042,0.0060,-0.70,0.57,0.29,0,4.017,-0.038,-0.393,-0.260,0.009,-0.012,0.000,0.000,0.000,0.000
0,-0.0989,0.3215,0.0069,0.0001,0.0046,0.0060,-0.74,0.49,0.29,0,4.006,0.225,0.069,-0.121,0.010,-0.013,0.000,0.000,0.000,0.000
