time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01,0,0,0.026176162,0,0,5.2352333,1,0,0,0,0,0,0
0.02,0,0,0.104704656,0,0,10.470467,1,0,0,0,0,0,0
0.03,0,0,0.23558548,0,0,15.7057,1,0,0,0,0,0,0
0.04,0,0,0.41881865,0,0,20.940933,1,0,0,0,0,0,0
0.049999997,0,0,0.6544041,0,0,26.176167,1,0,0,0,0,0,0
0.06,0,0,0.9423419,0,0,31.4114,1,0,0,0,0,0,0
0.07,0,0,1.2826321,0,0,36.646633,1,0,0,0,0,0,0
0.08,0,0,1.6752746,0,0,41.881866,1,0,0,0,0,0,0
0.089999996,0,0,2.1202693,0,0,47.1171,1,0,0,0,0,0,0
0.099999994,0,0,2.6176164,0,0,52.352333,1,0,0,0,0,0,0
